Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
Which statement correctly describes AUC (Area Under the Curve)?,a metric that summarises the overall performance of a classification model based on its ROC curve,a metric that measures the proportion of true positive predictions among all positive predictions made by a model,a graphical plot used to evaluate the performance of a binary classification model at various threshold settings,a common metric used to evaluate regression models by measuring the average squared difference between predicted and actual values,A,"By definition, AUC (Area Under the Curve) is: a metric that summarises the overall performance of a classification model based on its ROC curve",ML – Machine Learning,Model Evaluation
A classifier has 128 true positives and 13 false positives. What is its precision (rounded to 2 decimal places)?,0.91,0.71,0.81,0.76,A,Precision = TP / (TP + FP) = 128 / (128 + 13) = 0.91.,ML – Machine Learning,Model Evaluation
"Which term matches this description: ""a dimensionality reduction technique that transforms data into a smaller set of uncorrelated variables called principal components""?",silhouette score,Principal Component Analysis (PCA),t-SNE (t-distributed Stochastic Neighbor Embedding),DBSCAN,B,The description matches Principal Component Analysis (PCA): a dimensionality reduction technique that transforms data into a smaller set of uncorrelated variables called principal components,ML – Machine Learning,Unsupervised Learning
"A classifier has 129 true positives, 124 true negatives, 48 false positives, and 56 false negatives. What is its accuracy (rounded to 2 decimal places)?",0.51,0.86,0.71,0.61,C,Accuracy = (TP+TN)/(TP+TN+FP+FN) = (129+124)/(129+124+48+56) = 0.71.,ML – Machine Learning,Model Evaluation
Which statement correctly describes gradient boosting?,a technique used to prevent overfitting by adding a penalty term to a model's loss function,"a boosting technique that builds models sequentially, each minimising the errors of the combined previous models",a technique used to explain individual predictions of a machine learning model by attributing contributions to each feature,a technique used to fill in missing values in a dataset using estimated or calculated values,B,"By definition, gradient boosting is: a boosting technique that builds models sequentially, each minimising the errors of the combined previous models",ML – Machine Learning,ML Basics
"A classifier has 13 true positives, 84 true negatives, 32 false positives, and 74 false negatives. What is its accuracy (rounded to 2 decimal places)?",0.48,0.68,0.38,0.78,A,Accuracy = (TP+TN)/(TP+TN+FP+FN) = (13+84)/(13+84+32+74) = 0.48.,ML – Machine Learning,Model Evaluation
A classifier has 77 true positives and 36 false negatives. What is its recall (rounded to 2 decimal places)?,0.48,0.83,0.68,0.53,C,Recall = TP / (TP + FN) = 77 / (77 + 36) = 0.68.,ML – Machine Learning,Model Evaluation
A classifier has 152 true positives and 46 false negatives. What is its recall (rounded to 2 decimal places)?,0.77,0.87,0.97,0.47,A,Recall = TP / (TP + FN) = 152 / (152 + 46) = 0.77.,ML – Machine Learning,Model Evaluation
"A classifier has precision 0.69 and recall 0.62 (from 165 TP, 73 FP, 99 FN). What is its F1 score (rounded to 2 decimal places)?",0.66,0.51,0.86,0.81,A,F1 = 2×(Precision×Recall)/(Precision+Recall) = 2×(0.69×0.62)/(0.69+0.62) = 0.66.,ML – Machine Learning,Model Evaluation
"A classifier has precision 0.52 and recall 0.52 (from 78 TP, 71 FP, 71 FN). What is its F1 score (rounded to 2 decimal places)?",0.42,0.22,0.52,0.32,C,F1 = 2×(Precision×Recall)/(Precision+Recall) = 2×(0.52×0.52)/(0.52+0.52) = 0.52.,ML – Machine Learning,Model Evaluation
A classifier has 47 true positives and 56 false negatives. What is its recall (rounded to 2 decimal places)?,0.61,0.16,0.46,0.31,C,Recall = TP / (TP + FN) = 47 / (47 + 56) = 0.46.,ML – Machine Learning,Model Evaluation
"Fill in the blank: ______ refers to ""the known output or target value associated with an input example in supervised learning"".",outlier detection,a label (in ML),gradient boosting,batch normalisation,B,a label (in ML) refers to: the known output or target value associated with an input example in supervised learning,ML – Machine Learning,ML Basics
"A classifier has 6 true positives, 182 true negatives, 41 false positives, and 70 false negatives. What is its accuracy (rounded to 2 decimal places)?",0.53,0.78,0.83,0.63,D,Accuracy = (TP+TN)/(TP+TN+FP+FN) = (6+182)/(6+182+41+70) = 0.63.,ML – Machine Learning,Model Evaluation
What is pandas?,an online community and platform for data scientists and machine learning practitioners to find datasets and compete in competitions,a tool that chains together multiple data processing and modelling steps into a single workflow,"an open-source web application that allows users to create documents containing live code, equations, and visualisations","a popular Python library used for data manipulation and analysis, especially with tabular data",D,"pandas is: a popular Python library used for data manipulation and analysis, especially with tabular data",ML – Machine Learning,ML Tools
What is multi-class classification?,"a measure used to evaluate the quality of a split in a decision tree, based on the impurity of resulting subsets",a classification task involving more than two possible output classes,a decision boundary in a support vector machine that separates data points of different classes in high-dimensional space,"a probabilistic classification algorithm based on Bayes' theorem, assuming independence between features",B,multi-class classification is: a classification task involving more than two possible output classes,ML – Machine Learning,Classification
A classifier has 185 true positives and 67 false positives. What is its precision (rounded to 2 decimal places)?,0.83,0.43,0.73,0.58,C,Precision = TP / (TP + FP) = 185 / (185 + 67) = 0.73.,ML – Machine Learning,Model Evaluation
A classifier has 68 true positives and 1 false positives. What is its precision (rounded to 2 decimal places)?,0.99,0.84,1.00,0.89,A,Precision = TP / (TP + FP) = 68 / (68 + 1) = 0.99.,ML – Machine Learning,Model Evaluation
A classifier has 188 true positives and 12 false positives. What is its precision (rounded to 2 decimal places)?,0.79,0.64,0.94,0.84,C,Precision = TP / (TP + FP) = 188 / (188 + 12) = 0.94.,ML – Machine Learning,Model Evaluation
What is TensorFlow?,"a popular Python library used for data manipulation and analysis, especially with tabular data","an open-source machine learning framework developed by Google, widely used for building deep learning models","an open-source machine learning framework developed by Meta (Facebook), popular for research and deep learning applications","a gradient boosting framework designed for efficiency and speed, developed by Microsoft",B,"TensorFlow is: an open-source machine learning framework developed by Google, widely used for building deep learning models",ML – Machine Learning,ML Tools
"Fill in the blank: ______ refers to ""a problem in machine learning where information from outside the training dataset is used to create the model, leading to overly optimistic results"".",a cost function (in ML),data leakage,overfitting,a Markov chain,B,"data leakage refers to: a problem in machine learning where information from outside the training dataset is used to create the model, leading to overly optimistic results",ML – Machine Learning,ML Basics
Which statement correctly describes ensemble learning?,a machine learning technique that combines predictions from multiple models to improve overall performance,a technique used to address class imbalance by reducing the number of examples in the majority class,the process of selecting the optimal configuration settings for a machine learning model to maximise performance,the line or surface that separates different predicted classes in a classification model's feature space,A,"By definition, ensemble learning is: a machine learning technique that combines predictions from multiple models to improve overall performance",ML – Machine Learning,ML Basics
Which statement correctly describes a feature (in ML)?,an individual measurable property or characteristic used as input to a machine learning model,a technique used to convert categorical variables into a binary vector representation suitable for machine learning models,"the process of identifying and correcting errors, inconsistencies, or missing values in a dataset before analysis",a subset of data used during training to tune model hyperparameters and prevent overfitting,A,"By definition, a feature (in ML) is: an individual measurable property or characteristic used as input to a machine learning model",ML – Machine Learning,ML Basics
A classifier has 15 true positives and 77 false positives. What is its precision (rounded to 2 decimal places)?,0.16,0.36,0.06,0.26,A,Precision = TP / (TP + FP) = 15 / (15 + 77) = 0.16.,ML – Machine Learning,Model Evaluation
A classifier has 73 true positives and 83 false positives. What is its precision (rounded to 2 decimal places)?,0.47,0.77,0.32,0.17,A,Precision = TP / (TP + FP) = 73 / (73 + 83) = 0.47.,ML – Machine Learning,Model Evaluation
A classifier has 78 true positives and 61 false negatives. What is its recall (rounded to 2 decimal places)?,0.41,0.56,0.26,0.46,B,Recall = TP / (TP + FN) = 78 / (78 + 61) = 0.56.,ML – Machine Learning,Model Evaluation
A classifier has 145 true positives and 13 false positives. What is its precision (rounded to 2 decimal places)?,0.92,0.72,0.77,0.82,A,Precision = TP / (TP + FP) = 145 / (145 + 13) = 0.92.,ML – Machine Learning,Model Evaluation
What is a validation dataset?,the line or surface that separates different predicted classes in a classification model's feature space,a subset of machine learning that uses neural networks with many layers to model complex patterns in data,a subset of data used during training to tune model hyperparameters and prevent overfitting,"the process of identifying and correcting errors, inconsistencies, or missing values in a dataset before analysis",C,a validation dataset is: a subset of data used during training to tune model hyperparameters and prevent overfitting,ML – Machine Learning,ML Basics
"Fill in the blank: ______ refers to ""a technique used to prevent overfitting by adding a penalty term to a model's loss function"".",L2 regularisation (Ridge),a loss function (in ML),an epoch (in ML),regularisation,D,regularisation refers to: a technique used to prevent overfitting by adding a penalty term to a model's loss function,ML – Machine Learning,ML Basics
What is sentiment classification?,machine learning models used by financial institutions to assess the creditworthiness of loan applicants,"a machine learning task that categorises text based on the emotional tone it conveys, such as positive or negative","a machine learning application that predicts when equipment is likely to fail, enabling proactive maintenance",a machine learning task that involves predicting future values based on previously observed sequential data,B,"sentiment classification is: a machine learning task that categorises text based on the emotional tone it conveys, such as positive or negative",ML – Machine Learning,ML Applications
"A classifier has 75 true positives, 34 true negatives, 83 false positives, and 7 false negatives. What is its accuracy (rounded to 2 decimal places)?",0.25,0.85,0.55,0.75,C,Accuracy = (TP+TN)/(TP+TN+FP+FN) = (75+34)/(75+34+83+7) = 0.55.,ML – Machine Learning,Model Evaluation
"Fill in the blank: ______ refers to ""a metric that measures the proportion of correct predictions made by a classification model"".",the ROC curve,R-squared (coefficient of determination),model accuracy,a confusion matrix,C,model accuracy refers to: a metric that measures the proportion of correct predictions made by a classification model,ML – Machine Learning,Model Evaluation
Which statement correctly describes data leakage?,a machine learning approach that uses a small amount of labelled data combined with a larger amount of unlabelled data,"a series of automated steps used to collect, clean, transform, and prepare data for machine learning models","a problem in machine learning where information from outside the training dataset is used to create the model, leading to overly optimistic results",a technique used to fill in missing values in a dataset using estimated or calculated values,C,"By definition, data leakage is: a problem in machine learning where information from outside the training dataset is used to create the model, leading to overly optimistic results",ML – Machine Learning,ML Basics
A classifier has 162 true positives and 24 false negatives. What is its recall (rounded to 2 decimal places)?,0.67,0.77,1.00,0.87,D,Recall = TP / (TP + FN) = 162 / (162 + 24) = 0.87.,ML – Machine Learning,Model Evaluation
A classifier has 7 true positives and 54 false positives. What is its precision (rounded to 2 decimal places)?,0.01,0.00,0.41,0.11,D,Precision = TP / (TP + FP) = 7 / (7 + 54) = 0.11.,ML – Machine Learning,Model Evaluation
What is feature scaling?,"a modelling error where a model learns the training data too closely, including noise, and performs poorly on new data","the process of adjusting the range of independent variables in a dataset, often required before applying certain algorithms",a regularisation technique that adds the squared value of coefficients as a penalty to prevent overly large weights,a situation in classification problems where one class significantly outnumbers other classes in the training data,B,"feature scaling is: the process of adjusting the range of independent variables in a dataset, often required before applying certain algorithms",ML – Machine Learning,ML Basics
"A classifier has 26 true positives, 190 true negatives, 72 false positives, and 12 false negatives. What is its accuracy (rounded to 2 decimal places)?",1.00,0.52,0.87,0.72,D,Accuracy = (TP+TN)/(TP+TN+FP+FN) = (26+190)/(26+190+72+12) = 0.72.,ML – Machine Learning,Model Evaluation
What is entropy (in decision trees)?,a type of supervised learning task where the goal is to assign inputs into predefined categories or classes,a supervised learning algorithm that finds the optimal boundary (hyperplane) to separate data into classes,a measure of impurity or disorder used to determine the best splits when building a decision tree,the process of removing sections of a decision tree to reduce complexity and prevent overfitting,C,entropy (in decision trees) is: a measure of impurity or disorder used to determine the best splits when building a decision tree,ML – Machine Learning,Classification
Which statement correctly describes normalisation (in ML)?,"the process of scaling numerical data to a common range, often between 0 and 1, to improve model performance",a large visual database used for training and benchmarking image classification and object detection models,a technique used to convert categorical variables into a binary vector representation suitable for machine learning models,a mathematical model describing a sequence of events where the probability of each event depends only on the state attained in the previous event,A,"By definition, normalisation (in ML) is: the process of scaling numerical data to a common range, often between 0 and 1, to improve model performance",ML – Machine Learning,ML Basics
"A classifier has precision 0.10 and recall 0.18 (from 7 TP, 64 FP, 31 FN). What is its F1 score (rounded to 2 decimal places)?",0.43,0.00,0.03,0.13,D,F1 = 2×(Precision×Recall)/(Precision+Recall) = 2×(0.10×0.18)/(0.10+0.18) = 0.13.,ML – Machine Learning,Model Evaluation
"Fill in the blank: ______ refers to ""a technique used to address class imbalance by reducing the number of examples in the majority class"".",a benchmark dataset (in ML),undersampling (in ML),reinforcement learning,a baseline model,B,undersampling (in ML) refers to: a technique used to address class imbalance by reducing the number of examples in the majority class,ML – Machine Learning,ML Basics
What is stochastic gradient descent (SGD)?,a technique that explains individual predictions of any classifier by approximating it locally with an interpretable model,"a variation of gradient descent that updates model parameters using one training example at a time, rather than the full dataset",a technique used in deep learning to stabilise and accelerate training by normalising layer inputs,"a cross-validation technique where data is divided into k subsets, with each subset used once as a test set",B,"stochastic gradient descent (SGD) is: a variation of gradient descent that updates model parameters using one training example at a time, rather than the full dataset",ML – Machine Learning,ML Basics
Which statement correctly describes a fully connected layer?,"a variation of gradient descent that updates model parameters using one training example at a time, rather than the full dataset",the process of choosing the most relevant variables from a dataset to use in model training,a layer in a neural network where every neuron is connected to every neuron in the previous layer,a hyperparameter tuning method that exhaustively tries all possible combinations of specified parameter values,C,"By definition, a fully connected layer is: a layer in a neural network where every neuron is connected to every neuron in the previous layer",ML – Machine Learning,ML Basics
Which statement correctly describes SHAP (SHapley Additive exPlanations)?,"a machine learning model inspired by the human brain, composed of interconnected layers of nodes",a technique used in deep learning to stabilise and accelerate training by normalising layer inputs,a mathematical model describing a sequence of events where the probability of each event depends only on the state attained in the previous event,a technique used to explain individual predictions of a machine learning model by attributing contributions to each feature,D,"By definition, SHAP (SHapley Additive exPlanations) is: a technique used to explain individual predictions of a machine learning model by attributing contributions to each feature",ML – Machine Learning,ML Basics
Which statement correctly describes a benchmark dataset (in ML)?,"a widely used benchmark dataset of handwritten digit images, commonly used to test image classification models","a standard, publicly available dataset used to compare the performance of different machine learning models","the process of identifying and correcting errors, inconsistencies, or missing values in a dataset before analysis",a regularisation technique that adds the squared value of coefficients as a penalty to prevent overly large weights,B,"By definition, a benchmark dataset (in ML) is: a standard, publicly available dataset used to compare the performance of different machine learning models",ML – Machine Learning,ML Basics
A classifier has 58 true positives and 30 false negatives. What is its recall (rounded to 2 decimal places)?,0.46,0.56,0.81,0.66,D,Recall = TP / (TP + FN) = 58 / (58 + 30) = 0.66.,ML – Machine Learning,Model Evaluation
A classifier has 162 true positives and 26 false negatives. What is its recall (rounded to 2 decimal places)?,0.71,0.66,0.96,0.86,D,Recall = TP / (TP + FN) = 162 / (162 + 26) = 0.86.,ML – Machine Learning,Model Evaluation
"Which term matches this description: ""a statistical method used for binary classification, predicting the probability of an outcome belonging to a particular class""?",a Gaussian (RBF) kernel,a random forest,a Gini index (in decision trees),logistic regression,D,"The description matches logistic regression: a statistical method used for binary classification, predicting the probability of an outcome belonging to a particular class",ML – Machine Learning,Classification
"A classifier has precision 0.21 and recall 0.17 (from 13 TP, 49 FP, 63 FN). What is its F1 score (rounded to 2 decimal places)?",0.00,0.39,0.29,0.19,D,F1 = 2×(Precision×Recall)/(Precision+Recall) = 2×(0.21×0.17)/(0.21+0.17) = 0.19.,ML – Machine Learning,Model Evaluation
What is L1 regularisation (Lasso)?,"a regularisation technique that adds the absolute value of coefficients as a penalty, which can shrink some coefficients to zero",an ensemble technique that trains multiple models on different random subsets of data and averages their predictions,the process of choosing the most relevant variables from a dataset to use in model training,"the process of selecting, transforming, and creating input variables to improve a machine learning model's performance",A,"L1 regularisation (Lasso) is: a regularisation technique that adds the absolute value of coefficients as a penalty, which can shrink some coefficients to zero",ML – Machine Learning,ML Basics
A classifier has 69 true positives and 61 false positives. What is its precision (rounded to 2 decimal places)?,0.68,0.83,0.53,0.43,C,Precision = TP / (TP + FP) = 69 / (69 + 61) = 0.53.,ML – Machine Learning,Model Evaluation
A classifier has 48 true positives and 38 false positives. What is its precision (rounded to 2 decimal places)?,0.56,0.46,0.76,0.36,A,Precision = TP / (TP + FP) = 48 / (48 + 38) = 0.56.,ML – Machine Learning,Model Evaluation
"Fill in the blank: ______ refers to ""an unsupervised learning technique that groups similar data points together based on shared characteristics"".",clustering,dimensionality reduction,unsupervised learning,association rule learning,A,clustering refers to: an unsupervised learning technique that groups similar data points together based on shared characteristics,ML – Machine Learning,Unsupervised Learning
What is content-based recommendation?,"a machine learning application that predicts user preferences and suggests relevant items, such as movies or products",a machine learning application that predicts future customer demand for products or services,"a recommendation approach that suggests items similar to those a user has liked in the past, based on item attributes",a machine learning task that involves predicting future values based on previously observed sequential data,C,"content-based recommendation is: a recommendation approach that suggests items similar to those a user has liked in the past, based on item attributes",ML – Machine Learning,ML Applications
"A classifier has precision 0.50 and recall 0.50 (from 32 TP, 32 FP, 32 FN). What is its F1 score (rounded to 2 decimal places)?",0.20,0.70,0.35,0.50,D,F1 = 2×(Precision×Recall)/(Precision+Recall) = 2×(0.50×0.50)/(0.50+0.50) = 0.50.,ML – Machine Learning,Model Evaluation
A classifier has 31 true positives and 20 false positives. What is its precision (rounded to 2 decimal places)?,0.61,0.51,0.41,0.46,A,Precision = TP / (TP + FP) = 31 / (31 + 20) = 0.61.,ML – Machine Learning,Model Evaluation
"A classifier has precision 0.86 and recall 0.75 (from 182 TP, 30 FP, 62 FN). What is its F1 score (rounded to 2 decimal places)?",0.65,0.50,0.80,0.60,C,F1 = 2×(Precision×Recall)/(Precision+Recall) = 2×(0.86×0.75)/(0.86+0.75) = 0.80.,ML – Machine Learning,Model Evaluation
A classifier has 129 true positives and 36 false negatives. What is its recall (rounded to 2 decimal places)?,0.58,0.78,0.48,1.00,B,Recall = TP / (TP + FN) = 129 / (129 + 36) = 0.78.,ML – Machine Learning,Model Evaluation
"A classifier has precision 0.42 and recall 0.43 (from 69 TP, 97 FP, 90 FN). What is its F1 score (rounded to 2 decimal places)?",0.42,0.62,0.22,0.12,A,F1 = 2×(Precision×Recall)/(Precision+Recall) = 2×(0.42×0.43)/(0.42+0.43) = 0.42.,ML – Machine Learning,Model Evaluation
Which statement correctly describes demand forecasting?,a machine learning task that assigns a label to an image based on its visual content,a machine learning application that predicts future customer demand for products or services,a machine learning application that transcribes spoken language into written text,"a machine learning application that predicts when equipment is likely to fail, enabling proactive maintenance",B,"By definition, demand forecasting is: a machine learning application that predicts future customer demand for products or services",ML – Machine Learning,ML Applications
What is Latent Dirichlet Allocation (LDA)?,a technique used to reduce the number of features in a dataset while retaining important information,an unsupervised learning technique used to discover interesting relationships between variables in large datasets,a dimensionality reduction technique that transforms data into a smaller set of uncorrelated variables called principal components,"an unsupervised technique used for topic modelling, identifying abstract topics within a collection of documents",D,"Latent Dirichlet Allocation (LDA) is: an unsupervised technique used for topic modelling, identifying abstract topics within a collection of documents",ML – Machine Learning,Unsupervised Learning
"A classifier has precision 0.78 and recall 0.76 (from 187 TP, 54 FP, 60 FN). What is its F1 score (rounded to 2 decimal places)?",1.00,0.77,0.62,0.47,B,F1 = 2×(Precision×Recall)/(Precision+Recall) = 2×(0.78×0.76)/(0.78+0.76) = 0.77.,ML – Machine Learning,Model Evaluation
"Fill in the blank: ______ refers to ""a statistical measure indicating how well a regression model's predictions approximate the actual data"".",R-squared (coefficient of determination),recall (in ML),mean absolute error (MAE),a confusion matrix,A,R-squared (coefficient of determination) refers to: a statistical measure indicating how well a regression model's predictions approximate the actual data,ML – Machine Learning,Model Evaluation
Which statement correctly describes association rule learning?,a metric used to evaluate the quality of clustering by measuring how similar an object is to its own cluster compared to other clusters,an application of association rule learning used to discover products frequently purchased together,a density-based clustering algorithm that groups points closely packed together and marks outliers as noise,an unsupervised learning technique used to discover interesting relationships between variables in large datasets,D,"By definition, association rule learning is: an unsupervised learning technique used to discover interesting relationships between variables in large datasets",ML – Machine Learning,Unsupervised Learning
"A classifier has 140 true positives, 117 true negatives, 67 false positives, and 63 false negatives. What is its accuracy (rounded to 2 decimal places)?",0.81,0.86,0.96,0.66,D,Accuracy = (TP+TN)/(TP+TN+FP+FN) = (140+117)/(140+117+67+63) = 0.66.,ML – Machine Learning,Model Evaluation
"A classifier has 66 true positives, 166 true negatives, 31 false positives, and 8 false negatives. What is its accuracy (rounded to 2 decimal places)?",0.86,0.76,0.56,0.96,A,Accuracy = (TP+TN)/(TP+TN+FP+FN) = (66+166)/(66+166+31+8) = 0.86.,ML – Machine Learning,Model Evaluation
A classifier has 193 true positives and 83 false negatives. What is its recall (rounded to 2 decimal places)?,0.85,0.70,0.80,0.40,B,Recall = TP / (TP + FN) = 193 / (193 + 83) = 0.70.,ML – Machine Learning,Model Evaluation
"A classifier has 155 true positives, 21 true negatives, 68 false positives, and 67 false negatives. What is its accuracy (rounded to 2 decimal places)?",0.67,0.57,0.77,0.87,B,Accuracy = (TP+TN)/(TP+TN+FP+FN) = (155+21)/(155+21+68+67) = 0.57.,ML – Machine Learning,Model Evaluation
"A classifier has precision 0.79 and recall 0.71 (from 185 TP, 50 FP, 77 FN). What is its F1 score (rounded to 2 decimal places)?",0.54,0.59,0.74,0.89,C,F1 = 2×(Precision×Recall)/(Precision+Recall) = 2×(0.79×0.71)/(0.79+0.71) = 0.74.,ML – Machine Learning,Model Evaluation
What is a Gini index (in decision trees)?,"a measure used to evaluate the quality of a split in a decision tree, based on the impurity of resulting subsets",a supervised learning algorithm that finds the optimal boundary (hyperplane) to separate data into classes,a type of supervised learning task where the goal is to assign inputs into predefined categories or classes,a classification task involving more than two possible output classes,A,"a Gini index (in decision trees) is: a measure used to evaluate the quality of a split in a decision tree, based on the impurity of resulting subsets",ML – Machine Learning,Classification
"Fill in the blank: ______ refers to ""a statistical model used to represent systems that are assumed to follow a Markov process with unobserved (hidden) states"".",a Hidden Markov Model (HMM),Machine Learning (ML),batch size (in ML),SHAP (SHapley Additive exPlanations),A,a Hidden Markov Model (HMM) refers to: a statistical model used to represent systems that are assumed to follow a Markov process with unobserved (hidden) states,ML – Machine Learning,ML Basics
"A classifier has 90 true positives, 181 true negatives, 4 false positives, and 47 false negatives. What is its accuracy (rounded to 2 decimal places)?",0.69,0.99,0.84,0.54,C,Accuracy = (TP+TN)/(TP+TN+FP+FN) = (90+181)/(90+181+4+47) = 0.84.,ML – Machine Learning,Model Evaluation
A classifier has 190 true positives and 32 false negatives. What is its recall (rounded to 2 decimal places)?,0.66,0.86,0.76,0.71,B,Recall = TP / (TP + FN) = 190 / (190 + 32) = 0.86.,ML – Machine Learning,Model Evaluation
What is batch size (in ML)?,the number of training examples used in one iteration of model parameter updates,the process of integrating a trained machine learning model into a production environment for real-world use,a technique used to address class imbalance by reducing the number of examples in the majority class,"a layer of nodes between the input and output layers of a neural network, used to learn intermediate representations",A,batch size (in ML) is: the number of training examples used in one iteration of model parameter updates,ML – Machine Learning,ML Basics
Which statement correctly describes batch normalisation?,"a layer in a convolutional neural network that reduces the spatial size of data, decreasing computation and controlling overfitting",a machine learning technique that combines predictions from multiple models to improve overall performance,"a machine learning model inspired by the human brain, composed of interconnected layers of nodes",a technique used in deep learning to stabilise and accelerate training by normalising layer inputs,D,"By definition, batch normalisation is: a technique used in deep learning to stabilise and accelerate training by normalising layer inputs",ML – Machine Learning,ML Basics
A classifier has 44 true positives and 45 false negatives. What is its recall (rounded to 2 decimal places)?,0.64,0.49,0.69,0.29,B,Recall = TP / (TP + FN) = 44 / (44 + 45) = 0.49.,ML – Machine Learning,Model Evaluation
"A classifier has precision 0.77 and recall 0.81 (from 187 TP, 56 FP, 43 FN). What is its F1 score (rounded to 2 decimal places)?",0.79,1.00,0.94,0.89,A,F1 = 2×(Precision×Recall)/(Precision+Recall) = 2×(0.77×0.81)/(0.77+0.81) = 0.79.,ML – Machine Learning,Model Evaluation
"Fill in the blank: ______ refers to ""the process of removing sections of a decision tree to reduce complexity and prevent overfitting"".",pruning (in decision trees),multi-class classification,a support vector machine (SVM),a decision tree,A,pruning (in decision trees) refers to: the process of removing sections of a decision tree to reduce complexity and prevent overfitting,ML – Machine Learning,Classification
