Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
"Which term matches this description: ""a close, long-term biological interaction between two different species""?",a species,bacteria,chlorophyll,symbiosis,D,"The description matches symbiosis: a close, long-term biological interaction between two different species",Science,Biology
What is calcium's role in the body?,an organ that breaks down food using acid and enzymes as part of digestion,a mineral essential for building and maintaining strong bones and teeth,"the group of organs, including the lungs, responsible for breathing and gas exchange",the light-sensitive layer at the back of the eye that converts light into neural signals,B,calcium's role in the body is: a mineral essential for building and maintaining strong bones and teeth,Science,Human Body
What is oxidation?,a process used to separate solid particles from a liquid or gas using a filter,a process by which a solid forms from a solution as it cools or evaporates,a pure substance made of only one type of atom,a chemical reaction involving the loss of electrons by a substance,D,oxidation is: a chemical reaction involving the loss of electrons by a substance,Science,Chemistry
What is the human nervous system?,the network of nerves and the brain and spinal cord that controls body functions and responses,"organs used for breathing, where oxygen is taken in and carbon dioxide is expelled",a diagram representing the recommended proportions of different food groups for a healthy diet,blood cells responsible for carrying oxygen from the lungs to the rest of the body,A,the human nervous system is: the network of nerves and the brain and spinal cord that controls body functions and responses,Science,Human Body
What is the common name for the chemical compound with formula NaOH?,Ethanol,Sodium hydroxide,Potassium hydroxide,Calcium oxide (quicklime),B,NaOH is the chemical formula for Sodium hydroxide.,Science,Compounds
"Fill in the blank: ______ refers to ""animals that do not possess a backbone, such as insects and worms"".",hibernation,omnivores,invertebrates,herbivores,C,"invertebrates refers to: animals that do not possess a backbone, such as insects and worms",Science,Biology
Which element has the chemical symbol 'Y'?,Gold,Yttrium,Copper,Bismuth,B,The element with symbol Y is Yttrium.,Science,Periodic Table
Which element has atomic number 52?,Phosphorus,Bromine,Tellurium,Vanadium,C,The element with atomic number 52 is Tellurium.,Science,Periodic Table
"Which term matches this description: ""the network of nerves and the brain and spinal cord that controls body functions and responses""?",the human nervous system,the eye's retina,the skin,the kidneys,A,The description matches the human nervous system: the network of nerves and the brain and spinal cord that controls body functions and responses,Science,Human Body
What is photosynthesis's raw materials?,a microscopic infectious agent that can only replicate inside the living cells of a host organism,tiny pores on the surface of leaves that allow gas exchange for photosynthesis and respiration,"carbon dioxide and water, which plants absorb to produce glucose and oxygen using sunlight","an organism that breaks down dead organic matter, recycling nutrients back into the ecosystem",C,"photosynthesis's raw materials is: carbon dioxide and water, which plants absorb to produce glucose and oxygen using sunlight",Science,Biology
Which statement correctly describes an exoskeleton?,"a hard external skeleton that supports and protects the body of an animal, such as in insects",animals that feed exclusively on plants,an organism that obtains energy by eating other organisms,a state of reduced activity that certain animals enter during winter to conserve energy,A,"By definition, an exoskeleton is: a hard external skeleton that supports and protects the body of an animal, such as in insects",Science,Biology
What is a decomposer?,a microscopic infectious agent that can only replicate inside the living cells of a host organism,"single-celled microorganisms that can be found in almost every environment, some beneficial and some pathogenic",animals that eat both plants and other animals,"an organism that breaks down dead organic matter, recycling nutrients back into the ecosystem",D,"a decomposer is: an organism that breaks down dead organic matter, recycling nutrients back into the ecosystem",Science,Biology
What is the chemical symbol for Barium?,W,Ba,Hg,Tc,B,The chemical symbol for Barium is Ba.,Science,Periodic Table
"Fill in the blank: ______ refers to ""an organism that obtains energy by eating other organisms"".",a consumer in an ecosystem,an ecosystem,pollination,osmosis,A,a consumer in an ecosystem refers to: an organism that obtains energy by eating other organisms,Science,Biology
What is a vector quantity?,the temperature at which a liquid turns into a gas,the law stating that an object remains at rest or in uniform motion unless acted upon by an external force,"a physical quantity that has both magnitude and direction, such as velocity or force","a nuclear reaction in which a heavy atomic nucleus splits into smaller nuclei, releasing energy",C,"a vector quantity is: a physical quantity that has both magnitude and direction, such as velocity or force",Science,Physics
"Which term matches this description: ""the internal framework of bones that supports the body and protects internal organs""?",the lungs,the digestive enzyme amylase,the liver,the human skeleton,D,The description matches the human skeleton: the internal framework of bones that supports the body and protects internal organs,Science,Human Body
What is a molecule?,a substance that accepts hydrogen ions and has a pH greater than 7,a group of two or more atoms held together by chemical bonds,precipitation with high acidity caused by pollutants such as sulfur dioxide and nitrogen oxides,an instrument used to measure electric potential difference (voltage),B,a molecule is: a group of two or more atoms held together by chemical bonds,Science,Physics/Chemistry
"Fill in the blank: ______ refers to ""the process by which certain gases trap heat in Earth's atmosphere, warming the planet"".",deforestation,air pollution,the carbon cycle,the greenhouse effect,D,"the greenhouse effect refers to: the process by which certain gases trap heat in Earth's atmosphere, warming the planet",Science,Environment
Which element has atomic number 17?,Lanthanum,Chlorine,Lithium,Germanium,B,The element with atomic number 17 is Chlorine.,Science,Periodic Table
Which statement correctly describes a pulley?,"a type of electromagnetic radiation with wavelengths longer than visible light, often felt as heat",the process by which a solid changes directly into a gas without passing through the liquid state,a simple machine consisting of a wheel and rope used to lift heavy loads,the rate at which work is done or energy is transferred,C,"By definition, a pulley is: a simple machine consisting of a wheel and rope used to lift heavy loads",Science,Physics
"Which state of matter is described as: ""a state of matter with a fixed shape and volume, where particles are tightly packed""?",gas,liquid,plasma,solid,D,"This describes the solid state of matter: a state of matter with a fixed shape and volume, where particles are tightly packed.",Science,States of Matter
"Fill in the blank: ______ refers to ""the internal framework of bones that supports the body and protects internal organs"".",iron's role in the body,a neuron,the human skeleton,a balanced diet,C,the human skeleton refers to: the internal framework of bones that supports the body and protects internal organs,Science,Human Body
Which element has atomic number 4?,Rhodium,Beryllium,Tungsten,Palladium,B,The element with atomic number 4 is Beryllium.,Science,Periodic Table
"Which term matches this description: ""the product of an object's mass and velocity""?",magnetism,an ammeter,half-life,momentum,D,The description matches momentum: the product of an object's mass and velocity,Science,Physics
"Which term matches this description: ""macronutrients that serve as the body's main source of energy""?",carbohydrates,the kidneys,the digestive enzyme amylase,calcium's role in the body,A,The description matches carbohydrates: macronutrients that serve as the body's main source of energy,Science,Human Body
What is the chemical formula for Calcium carbonate?,CaCO3,C2H5OH,CuSO4,AgNO3,A,The chemical formula for Calcium carbonate is CaCO3.,Science,Compounds
"Fill in the blank: ______ refers to ""animals that feed exclusively on plants"".",a producer in an ecosystem,photosynthesis's byproduct,a virus,herbivores,D,herbivores refers to: animals that feed exclusively on plants,Science,Biology
What is the atomic number of Chlorine?,22,18,12,17,D,Chlorine has the atomic number 17.,Science,Periodic Table
What is the atomic number of Beryllium?,2,4,5,3,B,Beryllium has the atomic number 4.,Science,Periodic Table
Which statement correctly describes pollination?,the process by which a seed develops into a new plant,tiny pores on the surface of leaves that allow gas exchange for photosynthesis and respiration,animals that eat both plants and other animals,"the transfer of pollen from the male part of a flower to the female part, enabling fertilisation",D,"By definition, pollination is: the transfer of pollen from the male part of a flower to the female part, enabling fertilisation",Science,Biology
Which element has the chemical symbol 'Mg'?,Magnesium,Ruthenium,Manganese,Caesium,A,The element with symbol Mg is Magnesium.,Science,Periodic Table
Which statement correctly describes natural selection?,animals that possess a backbone or spinal column,tiny pores on the surface of leaves that allow gas exchange for photosynthesis and respiration,the green pigment in plants that absorbs sunlight for photosynthesis,the process by which organisms with favourable traits are more likely to survive and reproduce,D,"By definition, natural selection is: the process by which organisms with favourable traits are more likely to survive and reproduce",Science,Biology
What is the chemical symbol for Uranium?,K,Cl,S,U,D,The chemical symbol for Uranium is U.,Science,Periodic Table
"Fill in the blank: ______ refers to ""the process by which a solid changes directly into a gas without passing through the liquid state"".",a vector quantity,radioactivity,sublimation,a circuit,C,sublimation refers to: the process by which a solid changes directly into a gas without passing through the liquid state,Science,Physics
"Which term matches this description: ""the scientific theory that species evolve over generations through natural selection""?",Louis Pasteur's germ theory,the discovery of penicillin,Antonie van Leeuwenhoek,Charles Darwin's theory of evolution,D,The description matches Charles Darwin's theory of evolution: the scientific theory that species evolve over generations through natural selection,Science,Discoveries
Which statement correctly describes the stomach?,an organ that filters toxins from the blood and aids in digestion,the network of nerves and the brain and spinal cord that controls body functions and responses,an organ that breaks down food using acid and enzymes as part of digestion,macronutrients that serve as the body's main source of energy,C,"By definition, the stomach is: an organ that breaks down food using acid and enzymes as part of digestion",Science,Human Body
"Which term matches this description: ""the temperature at which a liquid turns into a solid""?",gravity,freezing point,a thermometer,velocity,B,The description matches freezing point: the temperature at which a liquid turns into a solid,Science,Physics
"Which term matches this description: ""the number of wave cycles that occur per unit of time, measured in hertz""?",a telescope,frequency in physics,density,pressure,B,"The description matches frequency in physics: the number of wave cycles that occur per unit of time, measured in hertz",Science,Physics
"Fill in the blank: ______ refers to ""a mineral essential for building and maintaining strong bones and teeth"".",calcium's role in the body,the human circulatory system,a food pyramid,the human nervous system,A,calcium's role in the body refers to: a mineral essential for building and maintaining strong bones and teeth,Science,Human Body
What is the chemical symbol for Nitrogen?,Pb,S,N,Br,C,The chemical symbol for Nitrogen is N.,Science,Periodic Table
Which element has atomic number 46?,Lithium,Palladium,Bromine,Yttrium,B,The element with atomic number 46 is Palladium.,Science,Periodic Table
Which element has the chemical symbol 'Mo'?,Niobium,Molybdenum,Selenium,Silver,B,The element with symbol Mo is Molybdenum.,Science,Periodic Table
"Which term matches this description: ""the process by which carbon moves between the atmosphere, oceans, soil, and living organisms""?",deforestation,acid rain,the carbon cycle,biodiversity,C,"The description matches the carbon cycle: the process by which carbon moves between the atmosphere, oceans, soil, and living organisms",Science,Environment
Which element has the chemical symbol 'Rn'?,Palladium,Arsenic,Titanium,Radon,D,The element with symbol Rn is Radon.,Science,Periodic Table
"Fill in the blank: ______ refers to ""a nuclear reaction in which a heavy atomic nucleus splits into smaller nuclei, releasing energy"".",a thermometer,a parallel circuit,boiling point,nuclear fission,D,"nuclear fission refers to: a nuclear reaction in which a heavy atomic nucleus splits into smaller nuclei, releasing energy",Science,Physics
Which statement correctly describes evaporation?,the rate at which work is done or energy is transferred,"the process by which a liquid changes into a gas at its surface, below boiling point",the law stating that voltage equals current multiplied by resistance (V = IR),the process by which a gas changes into a liquid,B,"By definition, evaporation is: the process by which a liquid changes into a gas at its surface, below boiling point",Science,Physics
Which element has the chemical symbol 'Sn'?,Bromine,Lanthanum,Tin,Plutonium,C,The element with symbol Sn is Tin.,Science,Periodic Table
"Which term matches this description: ""a nuclear reaction in which a heavy atomic nucleus splits into smaller nuclei, releasing energy""?",a conductor,an ammeter,a pulley,nuclear fission,D,"The description matches nuclear fission: a nuclear reaction in which a heavy atomic nucleus splits into smaller nuclei, releasing energy",Science,Physics
"Fill in the blank: ______ refers to ""the control centre of the nervous system, responsible for thought, memory, and coordinating body functions"".",the human circulatory system,the human brain,vitamins,the eye's retina,B,"the human brain refers to: the control centre of the nervous system, responsible for thought, memory, and coordinating body functions",Science,Human Body
"Fill in the blank: ______ refers to ""a process used to separate components of a liquid mixture based on differences in boiling points"".",a mixture in chemistry,the periodic table,distillation,an ionic bond,C,distillation refers to: a process used to separate components of a liquid mixture based on differences in boiling points,Science,Chemistry
Which element has atomic number 45?,Silver,Caesium,Rhodium,Gold,C,The element with atomic number 45 is Rhodium.,Science,Periodic Table
What is the atomic number of Gold?,79,81,82,80,A,Gold has the atomic number 79.,Science,Periodic Table
"Fill in the blank: ______ refers to ""the variety of life in a particular habitat or ecosystem"".",biodiversity,air pollution,fossil fuels,the greenhouse effect,A,biodiversity refers to: the variety of life in a particular habitat or ecosystem,Science,Environment
What is the chemical symbol for Niobium?,Cr,Pt,S,Nb,D,The chemical symbol for Niobium is Nb.,Science,Periodic Table
Which statement correctly describes a lever?,"the rate of change of an object's position with respect to time, in a specified direction",a simple machine consisting of a rigid bar that pivots around a fixed point to amplify force,"a nuclear reaction in which a heavy atomic nucleus splits into smaller nuclei, releasing energy","a physical quantity that has both magnitude and direction, such as velocity or force",B,"By definition, a lever is: a simple machine consisting of a rigid bar that pivots around a fixed point to amplify force",Science,Physics
"Fill in the blank: ______ refers to ""a positively charged subatomic particle found in the nucleus of an atom"".",a decomposer,a proton,hibernation,the periodic table,B,a proton refers to: a positively charged subatomic particle found in the nucleus of an atom,Science,Physics/Chemistry
What is the chemical symbol for Vanadium?,Hg,Te,V,B,C,The chemical symbol for Vanadium is V.,Science,Periodic Table
What is the chemical symbol for Silicon?,Tc,C,Rn,Si,D,The chemical symbol for Silicon is Si.,Science,Periodic Table
Which element has atomic number 3?,Krypton,Palladium,Lithium,Rhodium,C,The element with atomic number 3 is Lithium.,Science,Periodic Table
Which statement correctly describes vaccination?,the theory establishing that many diseases are caused by microorganisms,a medical process that stimulates the immune system to protect against a specific infectious disease,"the scientist who discovered penicillin in 1928, revolutionising the treatment of bacterial infections","the discovery of the first widely used antibiotic, made by Alexander Fleming in 1928",B,"By definition, vaccination is: a medical process that stimulates the immune system to protect against a specific infectious disease",Science,Discoveries
What is evaporation?,a device that converts mechanical energy into electrical energy,an instrument used to measure humidity in the air,"an electrical circuit in which components are connected end-to-end, so current flows through one path","the process by which a liquid changes into a gas at its surface, below boiling point",D,"evaporation is: the process by which a liquid changes into a gas at its surface, below boiling point",Science,Physics
Which statement correctly describes rust?,the formation of a solid from a solution during a chemical reaction,a reddish-brown compound formed when iron reacts with oxygen and moisture over time,a chemical bond formed through the electrostatic attraction between oppositely charged ions,a process used to separate solid particles from a liquid or gas using a filter,B,"By definition, rust is: a reddish-brown compound formed when iron reacts with oxygen and moisture over time",Science,Chemistry
"Which term matches this description: ""an adaptation that allows an organism to blend into its surroundings to avoid predators""?",an ecosystem,omnivores,osmosis,camouflage,D,The description matches camouflage: an adaptation that allows an organism to blend into its surroundings to avoid predators,Science,Biology
Which element has atomic number 86?,Titanium,Radon,Rhodium,Antimony,B,The element with atomic number 86 is Radon.,Science,Periodic Table
"Fill in the blank: ______ refers to ""a substance that speeds up a chemical reaction without being consumed in the process"".",an isotope,an acid,a catalyst,crystallization,C,a catalyst refers to: a substance that speeds up a chemical reaction without being consumed in the process,Science,Chemistry
"Fill in the blank: ______ refers to ""the movement of water molecules through a semi-permeable membrane from a region of lower solute concentration to higher concentration"".",osmosis,a species,an exoskeleton,photosynthesis's raw materials,A,osmosis refers to: the movement of water molecules through a semi-permeable membrane from a region of lower solute concentration to higher concentration,Science,Biology
"Which term matches this description: ""the substance that dissolves a solute to form a solution""?",an exothermic reaction,an endothermic reaction,a solvent,oxidation,C,The description matches a solvent: the substance that dissolves a solute to form a solution,Science,Chemistry
What is the chemical symbol for Chromium?,Cr,Se,Sr,S,A,The chemical symbol for Chromium is Cr.,Science,Periodic Table
"Which term matches this description: ""the smallest unit of matter that retains the properties of an element""?",conservation of natural resources,an atom,a telescope,the human brain,B,The description matches an atom: the smallest unit of matter that retains the properties of an element,Science,Physics/Chemistry
Which element has atomic number 21?,Barium,Manganese,Scandium,Plutonium,C,The element with atomic number 21 is Scandium.,Science,Periodic Table
Which element has the chemical symbol 'Cs'?,Gallium,Phosphorus,Hydrogen,Caesium,D,The element with symbol Cs is Caesium.,Science,Periodic Table
What is the liver?,the system consisting of the heart and blood vessels that transports blood throughout the body,an organ that filters toxins from the blood and aids in digestion,a mineral essential for building and maintaining strong bones and teeth,a diagram representing the recommended proportions of different food groups for a healthy diet,B,the liver is: an organ that filters toxins from the blood and aids in digestion,Science,Human Body
What is the chemical symbol for Rubidium?,As,La,Rb,P,C,The chemical symbol for Rubidium is Rb.,Science,Periodic Table
"Fill in the blank: ______ refers to ""blood cells that are part of the immune system, helping to fight infection"".",the digestive enzyme amylase,white blood cells,the kidneys,calcium's role in the body,B,"white blood cells refers to: blood cells that are part of the immune system, helping to fight infection",Science,Human Body
Which element has the chemical symbol 'Sb'?,Gold,Rubidium,Silver,Antimony,D,The element with symbol Sb is Antimony.,Science,Periodic Table
Which statement correctly describes photosynthesis?,"the process by which green plants use sunlight, water, and carbon dioxide to produce glucose and oxygen",animals that feed exclusively on plants,an organism that obtains energy by eating other organisms,"the process by which living organisms convert oxygen and glucose into energy, releasing carbon dioxide and water",A,"By definition, photosynthesis is: the process by which green plants use sunlight, water, and carbon dioxide to produce glucose and oxygen",Science,Biology
What is the common name for the chemical compound with formula CuSO4?,Sodium bicarbonate (baking soda),Copper sulfate,Carbon monoxide,Sulfur dioxide,B,CuSO4 is the chemical formula for Copper sulfate.,Science,Compounds
Which element has atomic number 74?,Gold,Tungsten,Manganese,Mercury,B,The element with atomic number 74 is Tungsten.,Science,Periodic Table
"Fill in the blank: ______ refers to ""the rate of change of velocity of an object over time"".",Newton's Second Law of Motion,a parallel circuit,evaporation,acceleration,D,acceleration refers to: the rate of change of velocity of an object over time,Science,Physics
What is the chemical symbol for Cadmium?,Cd,Pb,N,Te,A,The chemical symbol for Cadmium is Cd.,Science,Periodic Table
Which element has the chemical symbol 'Fe'?,Barium,Iron,Xenon,Boron,B,The element with symbol Fe is Iron.,Science,Periodic Table
"Fill in the blank: ______ refers to ""animals that eat both plants and other animals"".",omnivores,respiration,DNA (Deoxyribonucleic Acid),a gene,A,omnivores refers to: animals that eat both plants and other animals,Science,Biology
What is the atomic number of Lithium?,3,4,6,1,A,Lithium has the atomic number 3.,Science,Periodic Table
Which element has atomic number 8?,Oxygen,Plutonium,Platinum,Manganese,A,The element with atomic number 8 is Oxygen.,Science,Periodic Table
"Fill in the blank: ______ refers to ""a diet containing the right proportions of carbohydrates, proteins, fats, vitamins, and minerals"".",blood pressure,the human brain,white blood cells,a balanced diet,D,"a balanced diet refers to: a diet containing the right proportions of carbohydrates, proteins, fats, vitamins, and minerals",Science,Human Body
"Which term matches this description: ""an electrical circuit in which components are connected end-to-end, so current flows through one path""?",frequency in physics,nuclear fusion,radioactivity,a series circuit,D,"The description matches a series circuit: an electrical circuit in which components are connected end-to-end, so current flows through one path",Science,Physics
Which statement correctly describes a vector quantity?,the process by which a solid changes directly into a gas without passing through the liquid state,"the flow of electric charge, usually carried by electrons through a conductor","a physical quantity that has both magnitude and direction, such as velocity or force",the temperature at which a solid turns into a liquid,C,"By definition, a vector quantity is: a physical quantity that has both magnitude and direction, such as velocity or force",Science,Physics
Which statement correctly describes electric current?,"the flow of electric charge, usually carried by electrons through a conductor","a material that resists the flow of electric current, such as rubber","a type of electromagnetic radiation with wavelengths shorter than visible light, which can cause sunburn",the process by which a gas changes into a liquid,A,"By definition, electric current is: the flow of electric charge, usually carried by electrons through a conductor",Science,Physics
Which statement correctly describes a consumer in an ecosystem?,"a hard external skeleton that supports and protects the body of an animal, such as in insects",animals that feed exclusively on plants,an interconnected network of multiple food chains within an ecosystem,an organism that obtains energy by eating other organisms,D,"By definition, a consumer in an ecosystem is: an organism that obtains energy by eating other organisms",Science,Biology
"Fill in the blank: ______ refers to ""a group of two or more atoms held together by chemical bonds"".",a molecule,a solute,a covalent bond,the law of conservation of mass,A,a molecule refers to: a group of two or more atoms held together by chemical bonds,Science,Physics/Chemistry
What is the common name for the chemical compound with formula MgO?,Nitric acid,Water,Magnesium oxide,Nitrous oxide (laughing gas),C,MgO is the chemical formula for Magnesium oxide.,Science,Compounds
"Fill in the blank: ______ refers to ""organic compounds that the body needs in small amounts for normal growth and health"".",vitamins,carbohydrates,the stomach,proteins,A,vitamins refers to: organic compounds that the body needs in small amounts for normal growth and health,Science,Human Body
"Which term matches this description: ""oxygen, which is released into the atmosphere as a result of photosynthesis""?",symbiosis,omnivores,photosynthesis's byproduct,hibernation,C,"The description matches photosynthesis's byproduct: oxygen, which is released into the atmosphere as a result of photosynthesis",Science,Biology
Which statement correctly describes a virus?,"the process by which living organisms convert oxygen and glucose into energy, releasing carbon dioxide and water",an interconnected network of multiple food chains within an ecosystem,a microscopic infectious agent that can only replicate inside the living cells of a host organism,the process by which a seed develops into a new plant,C,"By definition, a virus is: a microscopic infectious agent that can only replicate inside the living cells of a host organism",Science,Biology
"Which term matches this description: ""a diagram representing the recommended proportions of different food groups for a healthy diet""?",a food pyramid,the pancreas,the human circulatory system,the human digestive system,A,The description matches a food pyramid: a diagram representing the recommended proportions of different food groups for a healthy diet,Science,Human Body
What is the chemical symbol for Titanium?,W,Pd,Ti,Mo,C,The chemical symbol for Titanium is Ti.,Science,Periodic Table
Which statement correctly describes Ohm's Law?,"a material that resists the flow of electric current, such as rubber",an instrument used to measure electric current,the law stating that voltage equals current multiplied by resistance (V = IR),"an instrument used to observe distant objects, especially celestial bodies, by collecting light",C,"By definition, Ohm's Law is: the law stating that voltage equals current multiplied by resistance (V = IR)",Science,Physics
What is the chemical symbol for Plutonium?,B,Pu,La,Ag,B,The chemical symbol for Plutonium is Pu.,Science,Periodic Table
"Which term matches this description: ""animals that feed exclusively on plants""?",adaptation,hibernation,herbivores,photosynthesis's raw materials,C,The description matches herbivores: animals that feed exclusively on plants,Science,Biology
What is the atomic number of Cerium?,53,57,58,63,C,Cerium has the atomic number 58.,Science,Periodic Table
"Which term matches this description: ""a trait that helps an organism survive and reproduce in its environment""?",carnivores,a species,the food web,adaptation,D,The description matches adaptation: a trait that helps an organism survive and reproduce in its environment,Science,Biology
"Fill in the blank: ______ refers to ""a material that resists the flow of electric current, such as rubber"".",an insulator,a wavelength,Ohm's Law,a voltmeter,A,"an insulator refers to: a material that resists the flow of electric current, such as rubber",Science,Physics
What is the electromagnetic spectrum?,the law stating that force equals mass times acceleration (F = ma),"the full range of electromagnetic radiation, from radio waves to gamma rays",an instrument used to measure temperature,the bending of light as it passes from one medium to another with a different density,B,"the electromagnetic spectrum is: the full range of electromagnetic radiation, from radio waves to gamma rays",Science,Physics
Which element has the chemical symbol 'Ag'?,Gold,Cadmium,Cerium,Silver,D,The element with symbol Ag is Silver.,Science,Periodic Table
Which statement correctly describes a solution in chemistry?,the formation of a solid from a solution during a chemical reaction,a chemical reaction involving the loss of electrons by a substance,a homogeneous mixture formed when a solute dissolves in a solvent,a pure substance made of only one type of atom,C,"By definition, a solution in chemistry is: a homogeneous mixture formed when a solute dissolves in a solvent",Science,Chemistry
What is the atomic number of Strontium?,37,39,38,33,C,Strontium has the atomic number 38.,Science,Periodic Table
What is the chemical symbol for Lithium?,Li,Sn,In,B,A,The chemical symbol for Lithium is Li.,Science,Periodic Table
Which element has the chemical symbol 'Rh'?,Rhodium,Cerium,Molybdenum,Calcium,A,The element with symbol Rh is Rhodium.,Science,Periodic Table
"Fill in the blank: ______ refers to ""a type of electromagnetic radiation with wavelengths shorter than visible light, which can cause sunburn"".",a seismograph,nuclear fusion,resistance in an electrical circuit,ultraviolet (UV) radiation,D,"ultraviolet (UV) radiation refers to: a type of electromagnetic radiation with wavelengths shorter than visible light, which can cause sunburn",Science,Physics
"Which term matches this description: ""a tabular arrangement of chemical elements organised by atomic number and properties""?",a mixture in chemistry,the law of conservation of mass,an element,the periodic table,D,The description matches the periodic table: a tabular arrangement of chemical elements organised by atomic number and properties,Science,Chemistry
What is an alloy?,the formation of a solid from a solution during a chemical reaction,"a mixture of two or more metals, or a metal and another element, combined to enhance properties",a technique used to separate the components of a mixture based on their movement through a medium,a pure substance made of only one type of atom,B,"an alloy is: a mixture of two or more metals, or a metal and another element, combined to enhance properties",Science,Chemistry
Which element has the chemical symbol 'Ga'?,Gallium,Oxygen,Caesium,Zirconium,A,The element with symbol Ga is Gallium.,Science,Periodic Table
Which element has atomic number 58?,Platinum,Cerium,Antimony,Cadmium,B,The element with atomic number 58 is Cerium.,Science,Periodic Table
"Fill in the blank: ______ refers to ""macronutrients that serve as the body's main source of energy"".",the human heart,the stomach,the lungs,carbohydrates,D,carbohydrates refers to: macronutrients that serve as the body's main source of energy,Science,Human Body
"Which term matches this description: ""a linear sequence showing how energy and nutrients pass from one organism to another""?",camouflage,germination,a food chain,a producer in an ecosystem,C,The description matches a food chain: a linear sequence showing how energy and nutrients pass from one organism to another,Science,Biology
"Fill in the blank: ______ refers to ""the organelle that contains the cell's genetic material (DNA) and controls its activities"".",a decomposer,a consumer in an ecosystem,the nucleus of a cell,carnivores,C,the nucleus of a cell refers to: the organelle that contains the cell's genetic material (DNA) and controls its activities,Science,Biology
What is the chemical formula for Sodium chloride (table salt)?,NaCl,C6H12O6,CuSO4,HNO3,A,The chemical formula for Sodium chloride (table salt) is NaCl.,Science,Compounds
Which statement correctly describes pressure?,the bouncing back of light when it hits a surface,the force applied per unit area,"a physical quantity that has magnitude only, with no direction, such as speed or mass","the number of wave cycles that occur per unit of time, measured in hertz",B,"By definition, pressure is: the force applied per unit area",Science,Physics
What is the common name for the chemical compound with formula HCl?,Calcium oxide (quicklime),Hydrochloric acid,Sulfuric acid,Sodium chloride (table salt),B,HCl is the chemical formula for Hydrochloric acid.,Science,Compounds
What is magnetism?,"a physical phenomenon produced by the motion of electric charge, resulting in attractive and repulsive forces","a simple machine consisting of a flat surface set at an angle, used to raise objects with less force","a nuclear reaction in which light atomic nuclei combine to form a heavier nucleus, releasing energy","an electrical circuit in which components are connected across common points, providing multiple current paths",A,"magnetism is: a physical phenomenon produced by the motion of electric charge, resulting in attractive and repulsive forces",Science,Physics
What is an endothermic reaction?,the principle stating that mass is neither created nor destroyed in a chemical reaction,"a chemical reaction that absorbs energy, usually as heat, from its surroundings","a mixture of two or more metals, or a metal and another element, combined to enhance properties",a substance that donates hydrogen ions and has a pH less than 7,B,"an endothermic reaction is: a chemical reaction that absorbs energy, usually as heat, from its surroundings",Science,Chemistry
What is the water cycle?,the variety of life in a particular habitat or ecosystem,"the process by which certain gases trap heat in Earth's atmosphere, warming the planet","the continuous movement of water through evaporation, condensation, precipitation, and collection",the natural process of recycling organic matter into a nutrient-rich soil conditioner,C,"the water cycle is: the continuous movement of water through evaporation, condensation, precipitation, and collection",Science,Environment
