Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
Solve for x: 11x + (16) = -6,-2,0,-4,-6,A,"11x = -6 - (16) = -22, so x = -22/11 = -2.",Math / Mathematics,Equations
What is 6044 - 1844?,4190,4200,4210,4198,B,6044 - 1844 = 4200.,Math / Mathematics,Subtraction
Which symbol correctly compares 301 and -50? (301 ___ -50),<,=,≥,>,D,301 > -50.,Math / Mathematics,Comparison
Which symbol correctly compares 60 and -336? (60 ___ -336),≥,<,=,>,D,60 > -336.,Math / Mathematics,Comparison
What is 8804 - 5229?,3577,3575,3595,3585,B,8804 - 5229 = 3575.,Math / Mathematics,Subtraction
What is 4773 ÷ 43?,106,115,116,111,D,"4773 ÷ 43 = 111, since 43 × 111 = 4773.",Math / Mathematics,Division
What is 2782 - 2080?,704,707,702,700,C,2782 - 2080 = 702.,Math / Mathematics,Subtraction
What is 1492 + 1485?,2967,2978,2977,2982,C,1492 + 1485 = 2977.,Math / Mathematics,Addition
What is 90% of 1980?,1782,1787,1767,1777,A,90% of 1980 = (90/100) × 1980 = 1782.,Math / Mathematics,Percentage
What is 50% of 670?,350,340,345,335,D,50% of 670 = (50/100) × 670 = 335.,Math / Mathematics,Percentage
Which symbol correctly compares -407 and -84? (-407 ___ -84),≥,>,<,=,C,-407 < -84.,Math / Mathematics,Comparison
Solve for x: 6x + (-39) = 45,12,10,15,14,D,"6x = 45 - (-39) = 84, so x = 84/6 = 14.",Math / Mathematics,Equations
What is 1144 ÷ 8?,148,142,143,145,C,"1144 ÷ 8 = 143, since 8 × 143 = 1144.",Math / Mathematics,Division
What is 85.03 + 148.12?,233.05,233.15,233.65,234.15,B,85.03 + 148.12 = 233.15.,Math / Mathematics,Decimals
What is 115.28 + 57.93?,173.71,173.21,172.71,171.21,B,115.28 + 57.93 = 173.21.,Math / Mathematics,Decimals
Which symbol correctly compares 241 and -79? (241 ___ -79),=,<,>,≥,C,241 > -79.,Math / Mathematics,Comparison
Solve for x: 7x + (35) = 70,3,7,2,5,D,"7x = 70 - (35) = 35, so x = 35/7 = 5.",Math / Mathematics,Equations
Solve for x: 8x + (-25) = 15,9,5,6,7,B,"8x = 15 - (-25) = 40, so x = 40/8 = 5.",Math / Mathematics,Equations
What is 1404 - 541?,865,863,868,861,B,1404 - 541 = 863.,Math / Mathematics,Subtraction
What is 134.33 + 24.76?,159.09,158.09,157.09,159.59,A,134.33 + 24.76 = 159.09.,Math / Mathematics,Decimals
What is 1614 - 1112?,502,522,500,512,A,1614 - 1112 = 502.,Math / Mathematics,Subtraction
Which symbol correctly compares 256 and -203? (256 ___ -203),≥,<,=,>,D,256 > -203.,Math / Mathematics,Comparison
What is 89 × 69?,6210,6143,6141,6139,C,89 × 69 = 6141.,Math / Mathematics,Multiplication
What is 8080 - 6576?,1499,1484,1494,1504,D,8080 - 6576 = 1504.,Math / Mathematics,Subtraction
What is 8/7 + 4/4 (in simplest form)?,13/7,15/7,14/6,16/6,B,8/7 + 4/4 = 15/7 = 15/7 in simplest form.,Math / Mathematics,Fractions
Solve for x: 7x + (9) = 79,10,11,8,9,A,"7x = 79 - (9) = 70, so x = 70/7 = 10.",Math / Mathematics,Equations
What is 1/6 + 3/6 (in simplest form)?,1/3,0/4,2/3,1/2,C,1/6 + 3/6 = 2/3 = 2/3 in simplest form.,Math / Mathematics,Fractions
Which symbol correctly compares -189 and -186? (-189 ___ -186),≥,=,>,<,D,-189 < -186.,Math / Mathematics,Comparison
What is 8582 + 6042?,14624,14625,14622,14634,A,8582 + 6042 = 14624.,Math / Mathematics,Addition
What is 2940 ÷ 15?,199,195,201,196,D,"2940 ÷ 15 = 196, since 15 × 196 = 2940.",Math / Mathematics,Division
Solve for x: 12x + (34) = 22,-1,-5,-3,0,A,"12x = 22 - (34) = -12, so x = -12/12 = -1.",Math / Mathematics,Equations
Solve for x: 7x + (-14) = -70,-11,-10,-8,-5,C,"7x = -70 - (-14) = -56, so x = -56/7 = -8.",Math / Mathematics,Equations
What is 3786 - 370?,3416,3426,3421,3414,A,3786 - 370 = 3416.,Math / Mathematics,Subtraction
Which symbol correctly compares -328 and 132? (-328 ___ 132),>,=,≥,<,D,-328 < 132.,Math / Mathematics,Comparison
What is 3312 + 9229?,12546,12540,12541,12551,C,3312 + 9229 = 12541.,Math / Mathematics,Addition
Solve for x: 8x + (-38) = -134,-11,-12,-16,-9,B,"8x = -134 - (-38) = -96, so x = -96/8 = -12.",Math / Mathematics,Equations
Solve for x: 6x + (-13) = -13,3,4,0,-1,C,"6x = -13 - (-13) = 0, so x = 0/6 = 0.",Math / Mathematics,Equations
What is 74 × 48?,3562,3552,3553,3551,B,74 × 48 = 3552.,Math / Mathematics,Multiplication
What is 3613 + 3293?,6916,6926,6908,6906,D,3613 + 3293 = 6906.,Math / Mathematics,Addition
What is 58.14 + 99.22?,157.26,157.46,155.36,157.36,D,58.14 + 99.22 = 157.36.,Math / Mathematics,Decimals
What is 60 × 5?,300,305,301,295,A,60 × 5 = 300.,Math / Mathematics,Multiplication
Which symbol correctly compares -403 and -233? (-403 ___ -233),=,<,>,≥,B,-403 < -233.,Math / Mathematics,Comparison
What is 86 × 78?,6708,6718,6706,6630,A,86 × 78 = 6708.,Math / Mathematics,Multiplication
What is 12% of 1590?,176,196,186,191,D,12% of 1590 = (12/100) × 1590 = 191.,Math / Mathematics,Percentage
What is 3433 + 9357?,12790,12795,12770,12785,A,3433 + 9357 = 12790.,Math / Mathematics,Addition
What is 50% of 1550?,765,785,775,795,C,50% of 1550 = (50/100) × 1550 = 775.,Math / Mathematics,Percentage
What is 2723 - 2711?,12,22,32,11,A,2723 - 2711 = 12.,Math / Mathematics,Subtraction
What is 44 × 21?,880,945,934,924,D,44 × 21 = 924.,Math / Mathematics,Multiplication
Which symbol correctly compares 188 and -252? (188 ___ -252),>,≥,<,=,A,188 > -252.,Math / Mathematics,Comparison
What is 8/5 + 9/6 (in simplest form)?,30/11,32/10,31/10,29/11,C,8/5 + 9/6 = 31/10 = 31/10 in simplest form.,Math / Mathematics,Fractions
What is 2520 ÷ 20?,124,126,123,129,B,"2520 ÷ 20 = 126, since 20 × 126 = 2520.",Math / Mathematics,Division
What is 157.91 - 6.75?,151.16,153.16,151.06,150.66,A,157.91 - 6.75 = 151.16.,Math / Mathematics,Decimals
What is 8497 - 4285?,4212,4211,4217,4202,A,8497 - 4285 = 4212.,Math / Mathematics,Subtraction
Which symbol correctly compares 467 and -143? (467 ___ -143),≥,>,=,<,B,467 > -143.,Math / Mathematics,Comparison
What is 5% of 370?,33,38,8,18,D,5% of 370 = (5/100) × 370 = 18.,Math / Mathematics,Percentage
What is 80% of 940?,747,757,772,752,D,80% of 940 = (80/100) × 940 = 752.,Math / Mathematics,Percentage
What is 96.72 + 152.78?,249.00,248.50,249.50,247.50,C,96.72 + 152.78 = 249.50.,Math / Mathematics,Decimals
What is 59 × 66?,3894,3828,3960,3904,A,59 × 66 = 3894.,Math / Mathematics,Multiplication
What is 1000 ÷ 5?,204,195,200,202,C,"1000 ÷ 5 = 200, since 5 × 200 = 1000.",Math / Mathematics,Division
What is 2726 ÷ 29?,92,94,90,96,B,"2726 ÷ 29 = 94, since 29 × 94 = 2726.",Math / Mathematics,Division
What is 60% of 1510?,921,906,901,896,B,60% of 1510 = (60/100) × 1510 = 906.,Math / Mathematics,Percentage
What is 40 × 97?,3977,3880,3870,3879,B,40 × 97 = 3880.,Math / Mathematics,Multiplication
What is 5/7 + 3/8 (in simplest form)?,61/56,59/57,59/58,62/55,A,5/7 + 3/8 = 61/56 = 61/56 in simplest form.,Math / Mathematics,Fractions
What is 255 + 5326?,5581,5580,5571,5561,A,255 + 5326 = 5581.,Math / Mathematics,Addition
What is 8547 + 5322?,13869,13874,13864,13867,A,8547 + 5322 = 13869.,Math / Mathematics,Addition
What is 12% of 1980?,258,238,223,228,B,12% of 1980 = (12/100) × 1980 = 238.,Math / Mathematics,Percentage
What is 4/12 + 1/2 (in simplest form)?,6/7,7/7,5/6,7/8,C,4/12 + 1/2 = 5/6 = 5/6 in simplest form.,Math / Mathematics,Fractions
What is 3070 + 5199?,8268,8269,8289,8271,B,3070 + 5199 = 8269.,Math / Mathematics,Addition
What is 15% of 1030?,169,154,144,149,B,15% of 1030 = (15/100) × 1030 = 154.,Math / Mathematics,Percentage
Which symbol correctly compares -451 and 5? (-451 ___ 5),=,>,<,≥,C,-451 < 5.,Math / Mathematics,Comparison
What is 50% of 220?,105,120,125,110,D,50% of 220 = (50/100) × 220 = 110.,Math / Mathematics,Percentage
What is 20% of 20?,14,4,9,24,B,20% of 20 = (20/100) × 20 = 4.,Math / Mathematics,Percentage
Which symbol correctly compares 490 and 422? (490 ___ 422),≥,>,=,<,B,490 > 422.,Math / Mathematics,Comparison
What is 61 × 62?,3780,3792,3782,3720,C,61 × 62 = 3782.,Math / Mathematics,Multiplication
What is 2268 - 802?,1456,1466,1465,1471,B,2268 - 802 = 1466.,Math / Mathematics,Subtraction
Solve for x: 10x + (28) = -172,-20,-16,-22,-24,A,"10x = -172 - (28) = -200, so x = -200/10 = -20.",Math / Mathematics,Equations
What is 137.21 + 95.67?,233.88,232.88,231.88,234.88,B,137.21 + 95.67 = 232.88.,Math / Mathematics,Decimals
Solve for x: 9x + (26) = 143,16,13,12,17,B,"9x = 143 - (26) = 117, so x = 117/9 = 13.",Math / Mathematics,Equations
What is 32 × 66?,2110,2102,2112,2111,C,32 × 66 = 2112.,Math / Mathematics,Multiplication
What is 3793 + 716?,4508,4499,4489,4509,D,3793 + 716 = 4509.,Math / Mathematics,Addition
What is 25% of 1180?,285,310,295,290,C,25% of 1180 = (25/100) × 1180 = 295.,Math / Mathematics,Percentage
Solve for x: 5x + (0) = 80,19,13,16,18,C,"5x = 80 - (0) = 80, so x = 80/5 = 16.",Math / Mathematics,Equations
What is 25 × 49?,1227,1226,1235,1225,D,25 × 49 = 1225.,Math / Mathematics,Multiplication
What is 4401 + 9040?,13443,13442,13451,13441,D,4401 + 9040 = 13441.,Math / Mathematics,Addition
What is 25% of 1600?,405,400,390,380,B,25% of 1600 = (25/100) × 1600 = 400.,Math / Mathematics,Percentage
Solve for x: 3x + (-29) = -20,7,5,3,0,C,"3x = -20 - (-29) = 9, so x = 9/3 = 3.",Math / Mathematics,Equations
What is 4/5 + 9/7 (in simplest form)?,71/34,73/35,75/36,75/34,B,4/5 + 9/7 = 73/35 = 73/35 in simplest form.,Math / Mathematics,Fractions
What is 82 × 41?,3362,3372,3352,3321,A,82 × 41 = 3362.,Math / Mathematics,Multiplication
What is 9319 + 5849?,15170,15168,15188,15167,B,9319 + 5849 = 15168.,Math / Mathematics,Addition
What is 144.51 - 44.07?,100.44,102.44,101.44,99.44,A,144.51 - 44.07 = 100.44.,Math / Mathematics,Decimals
What is 5432 - 2890?,2522,2542,2544,2547,B,5432 - 2890 = 2542.,Math / Mathematics,Subtraction
What is 40% of 680?,272,277,262,287,A,40% of 680 = (40/100) × 680 = 272.,Math / Mathematics,Percentage
What is 3431 + 7603?,11029,11035,11034,11044,C,3431 + 7603 = 11034.,Math / Mathematics,Addition
Which symbol correctly compares 496 and 235? (496 ___ 235),>,=,<,≥,A,496 > 235.,Math / Mathematics,Comparison
Solve for x: 6x + (21) = 33,4,2,5,1,B,"6x = 33 - (21) = 12, so x = 12/6 = 2.",Math / Mathematics,Equations
What is 20 × 42?,850,840,860,882,B,20 × 42 = 840.,Math / Mathematics,Multiplication
What is 3659 + 6053?,9712,9713,9710,9732,A,3659 + 6053 = 9712.,Math / Mathematics,Addition
What is 2952 + 2460?,5412,5407,5432,5413,A,2952 + 2460 = 5412.,Math / Mathematics,Addition
What is 5/2 + 9/8 (in simplest form)?,30/9,31/7,31/9,29/8,D,5/2 + 9/8 = 29/8 = 29/8 in simplest form.,Math / Mathematics,Fractions
Solve for x: 6x + (14) = 134,24,20,22,17,B,"6x = 134 - (14) = 120, so x = 120/6 = 20.",Math / Mathematics,Equations
What is 8027 + 5641?,13668,13648,13666,13673,A,8027 + 5641 = 13668.,Math / Mathematics,Addition
Which symbol correctly compares -278 and 316? (-278 ___ 316),≥,=,>,<,D,-278 < 316.,Math / Mathematics,Comparison
What is 5 × 35?,175,140,210,165,A,5 × 35 = 175.,Math / Mathematics,Multiplication
What is 9/6 + 3/11 (in simplest form)?,41/24,40/24,38/22,39/22,D,9/6 + 3/11 = 39/22 = 39/22 in simplest form.,Math / Mathematics,Fractions
What is 8436 + 7990?,16431,16426,16421,16416,B,8436 + 7990 = 16426.,Math / Mathematics,Addition
What is 23 × 4?,115,92,93,96,B,23 × 4 = 92.,Math / Mathematics,Multiplication
What is 79 × 20?,1570,1659,1580,1578,C,79 × 20 = 1580.,Math / Mathematics,Multiplication
Which symbol correctly compares 116 and -351? (116 ___ -351),=,<,>,≥,C,116 > -351.,Math / Mathematics,Comparison
What is 6 × 52?,312,310,322,313,A,6 × 52 = 312.,Math / Mathematics,Multiplication
What is 3739 + 6514?,10253,10243,10248,10233,A,3739 + 6514 = 10253.,Math / Mathematics,Addition
Solve for x: 7x + (29) = 155,18,17,16,14,A,"7x = 155 - (29) = 126, so x = 126/7 = 18.",Math / Mathematics,Equations
Which symbol correctly compares 73 and -58? (73 ___ -58),=,<,≥,>,D,73 > -58.,Math / Mathematics,Comparison
What is 7526 - 3554?,3972,3967,3992,3962,A,7526 - 3554 = 3972.,Math / Mathematics,Subtraction
What is 12% of 1460?,190,155,180,175,D,12% of 1460 = (12/100) × 1460 = 175.,Math / Mathematics,Percentage
What is 1/6 + 5/6 (in simplest form)?,3/3,3/1,3/2,1/1,D,1/6 + 5/6 = 1 = 1/1 in simplest form.,Math / Mathematics,Fractions
Solve for x: 12x + (-14) = -230,-15,-14,-18,-16,C,"12x = -230 - (-14) = -216, so x = -216/12 = -18.",Math / Mathematics,Equations
What is 76.42 + 146.27?,222.69,221.69,223.69,222.79,A,76.42 + 146.27 = 222.69.,Math / Mathematics,Decimals
What is 5481 ÷ 29?,188,189,192,194,B,"5481 ÷ 29 = 189, since 29 × 189 = 5481.",Math / Mathematics,Division
Solve for x: 11x + (-33) = -231,-18,-16,-19,-15,A,"11x = -231 - (-33) = -198, so x = -198/11 = -18.",Math / Mathematics,Equations
What is 4 × 71?,288,280,284,294,C,4 × 71 = 284.,Math / Mathematics,Multiplication
What is 6549 + 3080?,9624,9629,9628,9649,B,6549 + 3080 = 9629.,Math / Mathematics,Addition
What is 9167 - 6809?,2378,2357,2358,2348,C,9167 - 6809 = 2358.,Math / Mathematics,Subtraction
What is 69.52 - 36.81?,31.71,32.71,33.71,32.81,B,69.52 - 36.81 = 32.71.,Math / Mathematics,Decimals
What is 152 ÷ 2?,76,80,74,73,A,"152 ÷ 2 = 76, since 2 × 76 = 152.",Math / Mathematics,Division
Which symbol correctly compares -499 and -414? (-499 ___ -414),<,≥,>,=,A,-499 < -414.,Math / Mathematics,Comparison
What is 6/2 + 2/7 (in simplest form)?,21/9,22/9,23/7,22/6,C,6/2 + 2/7 = 23/7 = 23/7 in simplest form.,Math / Mathematics,Fractions
What is 57.12 + 37.46?,94.58,96.58,94.68,92.58,A,57.12 + 37.46 = 94.58.,Math / Mathematics,Decimals
Which symbol correctly compares -196 and -352? (-196 ___ -352),<,=,≥,>,D,-196 > -352.,Math / Mathematics,Comparison
What is 5/4 + 4/9 (in simplest form)?,60/36,63/37,62/38,61/36,D,5/4 + 4/9 = 61/36 = 61/36 in simplest form.,Math / Mathematics,Fractions
What is 3710 - 1255?,2453,2455,2435,2456,B,3710 - 1255 = 2455.,Math / Mathematics,Subtraction
What is 75% of 460?,365,335,340,345,D,75% of 460 = (75/100) × 460 = 345.,Math / Mathematics,Percentage
What is 80 × 35?,2800,2765,2835,2720,A,80 × 35 = 2800.,Math / Mathematics,Multiplication
What is 1022 - 83?,939,934,938,929,A,1022 - 83 = 939.,Math / Mathematics,Subtraction
What is 140 ÷ 4?,30,37,35,32,C,"140 ÷ 4 = 35, since 4 × 35 = 140.",Math / Mathematics,Division
What is 4400 + 4267?,8667,8657,8647,8665,A,4400 + 4267 = 8667.,Math / Mathematics,Addition
What is 6064 + 8081?,14125,14165,14145,14144,C,6064 + 8081 = 14145.,Math / Mathematics,Addition
What is 2898 + 2562?,5470,5460,5459,5462,B,2898 + 2562 = 5460.,Math / Mathematics,Addition
What is 74 × 31?,2263,2325,2293,2294,D,74 × 31 = 2294.,Math / Mathematics,Multiplication
Solve for x: 7x + (33) = 40,5,2,-2,1,D,"7x = 40 - (33) = 7, so x = 7/7 = 1.",Math / Mathematics,Equations
What is 1/10 + 4/10 (in simplest form)?,2/1,1/2,2/4,0/1,B,1/10 + 4/10 = 1/2 = 1/2 in simplest form.,Math / Mathematics,Fractions
What is 24 ÷ 3?,10,8,13,7,B,"24 ÷ 3 = 8, since 3 × 8 = 24.",Math / Mathematics,Division
What is 97.85 - 62.36?,34.99,35.49,35.39,33.49,B,97.85 - 62.36 = 35.49.,Math / Mathematics,Decimals
What is 291 + 5340?,5611,5630,5629,5631,D,291 + 5340 = 5631.,Math / Mathematics,Addition
What is 756 ÷ 9?,82,81,85,84,D,"756 ÷ 9 = 84, since 9 × 84 = 756.",Math / Mathematics,Division
What is 161.12 + 107.59?,269.71,268.71,270.71,267.71,B,161.12 + 107.59 = 268.71.,Math / Mathematics,Decimals
What is 6/5 + 8/8 (in simplest form)?,11/5,13/7,13/5,10/7,A,6/5 + 8/8 = 11/5 = 11/5 in simplest form.,Math / Mathematics,Fractions
What is 42 × 30?,1260,1259,1230,1261,A,42 × 30 = 1260.,Math / Mathematics,Multiplication
What is 5750 ÷ 50?,117,115,116,113,B,"5750 ÷ 50 = 115, since 50 × 115 = 5750.",Math / Mathematics,Division
Which symbol correctly compares 426 and -444? (426 ___ -444),>,≥,=,<,A,426 > -444.,Math / Mathematics,Comparison
Which symbol correctly compares 213 and -372? (213 ___ -372),≥,<,=,>,D,213 > -372.,Math / Mathematics,Comparison
Which symbol correctly compares 421 and -319? (421 ___ -319),=,>,<,≥,B,421 > -319.,Math / Mathematics,Comparison
Solve for x: 11x + (-20) = 189,15,22,18,19,D,"11x = 189 - (-20) = 209, so x = 209/11 = 19.",Math / Mathematics,Equations
What is 190.07 - 12.96?,176.61,177.11,176.11,175.11,B,190.07 - 12.96 = 177.11.,Math / Mathematics,Decimals
What is 70% of 1340?,918,938,953,928,B,70% of 1340 = (70/100) × 1340 = 938.,Math / Mathematics,Percentage
Solve for x: 6x + (22) = 16,0,-5,-1,2,C,"6x = 16 - (22) = -6, so x = -6/6 = -1.",Math / Mathematics,Equations
What is 166.58 - 91.36?,77.22,76.22,75.22,73.22,C,166.58 - 91.36 = 75.22.,Math / Mathematics,Decimals
Solve for x: 2x + (-41) = -71,-17,-19,-11,-15,D,"2x = -71 - (-41) = -30, so x = -30/2 = -15.",Math / Mathematics,Equations
What is 2628 - 2206?,402,427,424,422,D,2628 - 2206 = 422.,Math / Mathematics,Subtraction
Solve for x: 3x + (-28) = 14,10,12,13,14,D,"3x = 14 - (-28) = 42, so x = 42/3 = 14.",Math / Mathematics,Equations
What is 1107 + 7259?,8346,8356,8366,8361,C,1107 + 7259 = 8366.,Math / Mathematics,Addition
What is 181.98 - 64.16?,117.92,117.82,119.82,117.32,B,181.98 - 64.16 = 117.82.,Math / Mathematics,Decimals
What is 50% of 1590?,800,790,810,795,D,50% of 1590 = (50/100) × 1590 = 795.,Math / Mathematics,Percentage
What is 33.39 + 4.41?,37.80,38.30,35.80,37.30,A,33.39 + 4.41 = 37.80.,Math / Mathematics,Decimals
What is 80% of 1480?,1194,1174,1179,1184,D,80% of 1480 = (80/100) × 1480 = 1184.,Math / Mathematics,Percentage
Solve for x: 12x + (-2) = -182,-16,-17,-12,-15,D,"12x = -182 - (-2) = -180, so x = -180/12 = -15.",Math / Mathematics,Equations
What is 1762 + 3357?,5119,5117,5114,5099,A,1762 + 3357 = 5119.,Math / Mathematics,Addition
What is 2/6 + 5/6 (in simplest form)?,9/8,8/6,8/8,7/6,D,2/6 + 5/6 = 7/6 = 7/6 in simplest form.,Math / Mathematics,Fractions
What is 3962 + 6263?,10227,10223,10230,10225,D,3962 + 6263 = 10225.,Math / Mathematics,Addition
What is 6/6 + 5/3 (in simplest form)?,6/3,7/2,7/5,8/3,D,6/6 + 5/3 = 8/3 = 8/3 in simplest form.,Math / Mathematics,Fractions
What is 2/7 + 6/11 (in simplest form)?,66/76,63/76,62/78,64/77,D,2/7 + 6/11 = 64/77 = 64/77 in simplest form.,Math / Mathematics,Fractions
What is 2287 + 6552?,8840,8859,8839,8829,C,2287 + 6552 = 8839.,Math / Mathematics,Addition
Solve for x: 10x + (32) = 182,15,19,18,14,A,"10x = 182 - (32) = 150, so x = 150/10 = 15.",Math / Mathematics,Equations
What is 20% of 810?,162,152,167,172,A,20% of 810 = (20/100) × 810 = 162.,Math / Mathematics,Percentage
Solve for x: 11x + (39) = 50,-2,-3,1,4,C,"11x = 50 - (39) = 11, so x = 11/11 = 1.",Math / Mathematics,Equations
What is 7274 - 5986?,1278,1288,1298,1283,B,7274 - 5986 = 1288.,Math / Mathematics,Subtraction
What is 49 × 96?,4714,4655,4702,4704,D,49 × 96 = 4704.,Math / Mathematics,Multiplication
What is 159.26 + 132.64?,292.90,292.00,291.90,293.90,C,159.26 + 132.64 = 291.90.,Math / Mathematics,Decimals
What is 6 × 3?,18,15,20,17,A,6 × 3 = 18.,Math / Mathematics,Multiplication
What is 86 × 49?,4263,4215,4212,4214,D,86 × 49 = 4214.,Math / Mathematics,Multiplication
What is 50 × 95?,4751,4700,4750,4752,C,50 × 95 = 4750.,Math / Mathematics,Multiplication
What is 50% of 550?,285,265,280,275,D,50% of 550 = (50/100) × 550 = 275.,Math / Mathematics,Percentage
What is 12% of 610?,53,93,83,73,D,12% of 610 = (12/100) × 610 = 73.,Math / Mathematics,Percentage
Which symbol correctly compares -303 and -484? (-303 ___ -484),>,=,<,≥,A,-303 > -484.,Math / Mathematics,Comparison
What is 9198 + 9815?,19013,19003,19014,19033,A,9198 + 9815 = 19013.,Math / Mathematics,Addition
Which symbol correctly compares -477 and -113? (-477 ___ -113),<,>,=,≥,A,-477 < -113.,Math / Mathematics,Comparison
Which symbol correctly compares 329 and -89? (329 ___ -89),>,≥,<,=,A,329 > -89.,Math / Mathematics,Comparison
Solve for x: 7x + (48) = -50,-16,-17,-14,-13,C,"7x = -50 - (48) = -98, so x = -98/7 = -14.",Math / Mathematics,Equations
Solve for x: 4x + (49) = 13,-9,-12,-10,-6,A,"4x = 13 - (49) = -36, so x = -36/4 = -9.",Math / Mathematics,Equations
Which symbol correctly compares 170 and -260? (170 ___ -260),=,<,≥,>,D,170 > -260.,Math / Mathematics,Comparison
What is 2666 - 381?,2285,2280,2287,2305,A,2666 - 381 = 2285.,Math / Mathematics,Subtraction
Solve for x: 8x + (-12) = -76,-12,-5,-10,-8,D,"8x = -76 - (-12) = -64, so x = -64/8 = -8.",Math / Mathematics,Equations
What is 2211 + 9335?,11556,11546,11547,11545,B,2211 + 9335 = 11546.,Math / Mathematics,Addition
What is 421 - 297?,124,119,126,134,A,421 - 297 = 124.,Math / Mathematics,Subtraction
Which symbol correctly compares 330 and -369? (330 ___ -369),<,=,>,≥,C,330 > -369.,Math / Mathematics,Comparison
Which symbol correctly compares 169 and 453? (169 ___ 453),>,≥,=,<,D,169 < 453.,Math / Mathematics,Comparison
What is 1158 + 4386?,5544,5539,5543,5545,A,1158 + 4386 = 5544.,Math / Mathematics,Addition
What is 9901 + 7729?,17631,17628,17610,17630,D,9901 + 7729 = 17630.,Math / Mathematics,Addition
What is 2/7 + 8/8 (in simplest form)?,10/7,9/7,11/6,8/7,B,2/7 + 8/8 = 9/7 = 9/7 in simplest form.,Math / Mathematics,Fractions
What is 734 + 2906?,3641,3640,3660,3620,B,734 + 2906 = 3640.,Math / Mathematics,Addition
Solve for x: 8x + (30) = -10,-5,-3,-2,-1,A,"8x = -10 - (30) = -40, so x = -40/8 = -5.",Math / Mathematics,Equations
What is 4/2 + 3/8 (in simplest form)?,19/8,21/9,17/10,21/10,A,4/2 + 3/8 = 19/8 = 19/8 in simplest form.,Math / Mathematics,Fractions
What is 2722 - 189?,2528,2533,2553,2534,B,2722 - 189 = 2533.,Math / Mathematics,Subtraction
What is 3/3 + 3/4 (in simplest form)?,9/4,7/4,6/6,8/4,B,3/3 + 3/4 = 7/4 = 7/4 in simplest form.,Math / Mathematics,Fractions
What is 15 × 73?,1168,1096,1097,1095,D,15 × 73 = 1095.,Math / Mathematics,Multiplication
Solve for x: 3x + (-39) = -36,-2,1,5,-3,B,"3x = -36 - (-39) = 3, so x = 3/3 = 1.",Math / Mathematics,Equations
What is 7/6 + 1/12 (in simplest form)?,5/4,6/3,7/6,4/6,A,7/6 + 1/12 = 5/4 = 5/4 in simplest form.,Math / Mathematics,Fractions
What is 9/3 + 8/9 (in simplest form)?,34/10,34/8,33/10,35/9,D,9/3 + 8/9 = 35/9 = 35/9 in simplest form.,Math / Mathematics,Fractions
What is 80% of 1590?,1287,1277,1272,1262,C,80% of 1590 = (80/100) × 1590 = 1272.,Math / Mathematics,Percentage
