Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
Which statement correctly describes the 200 status code?,"software that handles HTTP requests and serves web content to clients, such as Apache or Nginx","a compact, URL-safe means of representing claims to be transferred between two parties, often used for authentication",a way of storing information about a user's interaction with a website across multiple requests,an HTTP status code indicating that a request has succeeded,D,"By definition, the 200 status code is: an HTTP status code indicating that a request has succeeded",Web Development,Backend
What is the purpose of the HTML tag <ul>?,defining a thematic grouping of content within a document,creating a table for displaying tabular data,creating an unordered (bulleted) list,defining introductory content or navigation links for a page or section,C,The <ul> tag is used for creating an unordered (bulleted) list.,Web Development,HTML Tags
Which statement correctly describes Ruby on Rails?,"a web application framework written in Ruby, known for its convention-over-configuration philosophy",an HTTP method used to remove a specified resource from a server,a browser security feature that controls how resources can be requested from a different domain than the one serving the page,interfaces provided by a backend server that allow client applications to request and send data,A,"By definition, Ruby on Rails is: a web application framework written in Ruby, known for its convention-over-configuration philosophy",Web Development,Backend
"Fill in the blank: ______ refers to ""the practice of ensuring a website functions correctly across different web browsers"".",browser developer tools,cross-browser compatibility,caching (in web development),version control in web development,B,cross-browser compatibility refers to: the practice of ensuring a website functions correctly across different web browsers,Web Development,General Web Development
"Which term matches this description: ""a behaviour where variable and function declarations are moved to the top of their scope before code execution""?",localStorage (in web development),npm (Node Package Manager),the fetch API,hoisting (in JavaScript),D,The description matches hoisting (in JavaScript): a behaviour where variable and function declarations are moved to the top of their scope before code execution,Web Development,JavaScript
What is mobile-first design?,"a property that defines how the width and height of an element are calculated, including or excluding padding and border",a design approach that begins with designing for the smallest screen size before scaling up to larger screens,"a symbol in a CSS selector that defines the relationship between multiple selectors, such as descendant or child",the mechanism by which certain CSS property values are passed down from a parent element to its children,B,mobile-first design is: a design approach that begins with designing for the smallest screen size before scaling up to larger screens,Web Development,CSS
"Which term matches this description: ""reusable values defined in CSS that can be referenced throughout a stylesheet using the var() function""?",Flexbox,responsive web design,CSS variables (custom properties),web font loading,C,The description matches CSS variables (custom properties): reusable values defined in CSS that can be referenced throughout a stylesheet using the var() function,Web Development,CSS
"Fill in the blank: ______ refers to ""a technique that allows developers to interact with a database using objects instead of writing raw SQL queries"".",connection pooling (in databases),an ORM (Object-Relational Mapping) in web development,a transaction (in databases),a database query,B,an ORM (Object-Relational Mapping) in web development refers to: a technique that allows developers to interact with a database using objects instead of writing raw SQL queries,Web Development,Databases
"Which term matches this description: ""a message sent by a server back to a client, containing the requested data or status information""?",an HTTP response,API rate limiting,a server (in web development),SQL injection,A,"The description matches an HTTP response: a message sent by a server back to a client, containing the requested data or status information",Web Development,Backend
"Which term matches this description: ""helping users visually identify a bookmarked site in their browser's bookmark list""?",web page latency,a favicon's purpose,website hosting,a favicon's role in bookmarking,D,The description matches a favicon's role in bookmarking: helping users visually identify a bookmarked site in their browser's bookmark list,Web Development,General Web Development
"Fill in the blank: ______ refers to ""a query language for APIs that allows clients to request exactly the data they need"".",an HTTP response,an HTTP request,GraphQL,Django,C,GraphQL refers to: a query language for APIs that allows clients to request exactly the data they need,Web Development,Backend
What is a CSS combinator?,"a symbol in a CSS selector that defines the relationship between multiple selectors, such as descendant or child","a technique used to gradually change the style of an element over time, without requiring JavaScript",a design approach that begins with designing for the smallest screen size before scaling up to larger screens,a stylesheet used to remove browser default styling inconsistencies before applying custom styles,A,"a CSS combinator is: a symbol in a CSS selector that defines the relationship between multiple selectors, such as descendant or child",Web Development,CSS
Which statement correctly describes image optimisation (for the web)?,the process of reducing image file sizes to improve website loading speed without significant quality loss,the practice of ensuring a website functions correctly across different web browsers,the practice of improving a website to increase its visibility in search engine results,"a website that displays the same fixed content to every visitor, without server-side processing",A,"By definition, image optimisation (for the web) is: the process of reducing image file sizes to improve website loading speed without significant quality loss",Web Development,General Web Development
Which statement correctly describes server-side APIs?,interfaces provided by a backend server that allow client applications to request and send data,a major revision of the HTTP protocol that improves performance through features like multiplexing and header compression,a security vulnerability that tricks a user into performing unwanted actions on a web application in which they're authenticated,a way of storing information about a user's interaction with a website across multiple requests,A,"By definition, server-side APIs is: interfaces provided by a backend server that allow client applications to request and send data",Web Development,Backend
"Fill in the blank: ______ refers to ""a popular open-source content management system used to build and manage websites"".",a sitemap,a wireframe (in web design),WordPress,a breadcrumb (in web navigation),C,WordPress refers to: a popular open-source content management system used to build and manage websites,Web Development,General Web Development
Which statement correctly describes a JavaScript module?,"a syntax that allows an iterable to be expanded into individual elements, denoted by three dots (...)",a reusable piece of code that can be exported from one file and imported into another,a tool used to bundle JavaScript files and other assets into optimised packages for deployment,"a modern JavaScript interface used to make network requests, such as retrieving data from a server",B,"By definition, a JavaScript module is: a reusable piece of code that can be exported from one file and imported into another",Web Development,JavaScript
Which statement correctly describes web semantics?,"the practice of using HTML markup that conveys the meaning of content, improving accessibility and SEO","a component of a web page defined by an opening tag, content, and a closing tag",a generic inline HTML container element used to style small portions of text or content,a generic HTML container element used to group and style content,A,"By definition, web semantics is: the practice of using HTML markup that conveys the meaning of content, improving accessibility and SEO",Web Development,HTML
"Fill in the blank: ______ refers to ""an open standard authorization protocol that allows applications to access user data from other services without sharing passwords"".",an HTTP request,CORS (Cross-Origin Resource Sharing),a PUT request,OAuth,D,OAuth refers to: an open standard authorization protocol that allows applications to access user data from other services without sharing passwords,Web Development,Backend
"Which term matches this description: ""a popular open-source CSS framework used to build responsive, mobile-first websites""?",Bootstrap,CSS variables (custom properties),a CSS transition,an ID selector (in CSS),A,"The description matches Bootstrap: a popular open-source CSS framework used to build responsive, mobile-first websites",Web Development,CSS
Which statement correctly describes async/await (in JavaScript)?,a JavaScript array method that creates a new array containing only elements that pass a specified test,a mechanism where an event triggered on a nested element propagates up through its parent elements,"a technique used to update parts of a web page without reloading the entire page, by exchanging data with a server","a syntax that allows asynchronous code to be written in a more readable, synchronous-looking style",D,"By definition, async/await (in JavaScript) is: a syntax that allows asynchronous code to be written in a more readable, synchronous-looking style",Web Development,JavaScript
"Which term matches this description: ""software that handles HTTP requests and serves web content to clients, such as Apache or Nginx""?",Apache HTTP Server,a web server,API rate limiting,a reverse proxy,B,"The description matches a web server: software that handles HTTP requests and serves web content to clients, such as Apache or Nginx",Web Development,Backend
"Which term matches this description: ""built-in functions used to manipulate arrays, such as map(), filter(), and reduce()""?",a JavaScript array method,JavaScript's typeof operator,TypeScript,JavaScript,A,"The description matches a JavaScript array method: built-in functions used to manipulate arrays, such as map(), filter(), and reduce()",Web Development,JavaScript
What is an ORM (Object-Relational Mapping) in web development?,"structured, version-controlled changes made to a database schema over time as an application evolves",a technique used to improve the speed of data retrieval operations in a database,"a technique that splits a large database into smaller, more manageable pieces distributed across multiple servers",a technique that allows developers to interact with a database using objects instead of writing raw SQL queries,D,an ORM (Object-Relational Mapping) in web development is: a technique that allows developers to interact with a database using objects instead of writing raw SQL queries,Web Development,Databases
"Fill in the blank: ______ refers to ""the address used to locate a specific resource, such as a web page, on the internet"".",a favicon's typical file format,a favicon's purpose,a breadcrumb (in web navigation),a URL (Uniform Resource Locator),D,"a URL (Uniform Resource Locator) refers to: the address used to locate a specific resource, such as a web page, on the internet",Web Development,General Web Development
What is HTTP/2?,an HTTP method used to remove a specified resource from a server,a major revision of the HTTP protocol that improves performance through features like multiplexing and header compression,"a communication protocol that provides full-duplex communication channels over a single, long-lived connection",an HTTP status code indicating that a request has succeeded,B,HTTP/2 is: a major revision of the HTTP protocol that improves performance through features like multiplexing and header compression,Web Development,Backend
Which statement correctly describes a virtual DOM?,"a React hook that allows functional components to perform side effects, such as data fetching","a lightweight in-memory representation of the real DOM, used by frameworks like React to optimise updates","a software design approach where a user interface is built from small, independent, reusable pieces","a navigation icon consisting of three horizontal lines, commonly used to toggle a menu on mobile websites",B,"By definition, a virtual DOM is: a lightweight in-memory representation of the real DOM, used by frameworks like React to optimise updates",Web Development,Frontend
"Fill in the blank: ______ refers to ""the practice of building the visual, user-facing parts of a website or web application"".",a single-page application (SPA),React Router,frontend development,props (in React),C,"frontend development refers to: the practice of building the visual, user-facing parts of a website or web application",Web Development,Frontend
Which statement correctly describes an ID selector (in CSS)?,"a CSS layout module designed to arrange items within a container efficiently, even with dynamic sizes","a keyword added to a selector that specifies a special state of an element, such as :hover","a CSS selector that targets a single element with a specific ID attribute, denoted by a hash symbol",a specific screen width at which a website's layout changes to adapt to different devices,C,"By definition, an ID selector (in CSS) is: a CSS selector that targets a single element with a specific ID attribute, denoted by a hash symbol",Web Development,CSS
What is React Router?,a popular JavaScript library developed by Meta for building user interfaces using reusable components,"a React hook that allows functional components to perform side effects, such as data fetching",a standard library used to handle routing in React applications,"a software design approach where a user interface is built from small, independent, reusable pieces",C,React Router is: a standard library used to handle routing in React applications,Web Development,Frontend
Which statement correctly describes cross-browser compatibility?,"the delay between a user's request and the server's response, affecting how fast a page loads",the practice of ensuring a website functions correctly across different web browsers,a system that translates human-readable domain names into IP addresses used by computers,"a standalone web page designed for a specific marketing or advertising campaign, often with a single call to action",B,"By definition, cross-browser compatibility is: the practice of ensuring a website functions correctly across different web browsers",Web Development,General Web Development
"Which term matches this description: ""an HTTP status code indicating that a request has succeeded""?",API rate limiting,a web application firewall (WAF),the 200 status code,cross-site request forgery (CSRF),C,The description matches the 200 status code: an HTTP status code indicating that a request has succeeded,Web Development,Backend
"Fill in the blank: ______ refers to ""a website that generates content in real time, often based on user interaction or database queries"".",cross-browser compatibility,a wireframe (in web design),SEO (Search Engine Optimisation),a dynamic website,D,"a dynamic website refers to: a website that generates content in real time, often based on user interaction or database queries",Web Development,General Web Development
Which HTML tag is used for defining a paragraph of text?,<p>,<li>,<meta>,<section>,A,<p> is used for defining a paragraph of text.,Web Development,HTML Tags
"Which HTML tag is used for defining headings, with <h1> being the most important and <h6> the least?",<script>,<h1> to <h6>,<meta>,<footer>,B,"<h1> to <h6> is used for defining headings, with <h1> being the most important and <h6> the least.",Web Development,HTML Tags
"Which term matches this description: ""a web application that dynamically updates content on a single page without requiring full page reloads""?",React,a single-page application (SPA),Angular,Redux,B,The description matches a single-page application (SPA): a web application that dynamically updates content on a single page without requiring full page reloads,Web Development,Frontend
"Which term matches this description: ""an HTTP method used to remove a specified resource from a server""?",a DELETE request,the User-Agent HTTP header,a web server,HTTP headers,A,The description matches a DELETE request: an HTTP method used to remove a specified resource from a server,Web Development,Backend
What is the purpose of the HTML tag <th>?,creating a dropdown list of options,defining a header cell within an HTML table,defining a thematic grouping of content within a document,creating an ordered (numbered) list,B,The <th> tag is used for defining a header cell within an HTML table.,Web Development,HTML Tags
What is a CSS reset stylesheet?,the mechanism by which certain CSS property values are passed down from a parent element to its children,a design approach that begins with designing for the smallest screen size before scaling up to larger screens,"a CSS selector that targets elements with a specific class attribute, denoted by a period",a stylesheet used to remove browser default styling inconsistencies before applying custom styles,D,a CSS reset stylesheet is: a stylesheet used to remove browser default styling inconsistencies before applying custom styles,Web Development,CSS
"Which CSS property is used for specifying the positioning method used for an element, such as static, relative, or absolute?",background-color,align-items,z-index,position,D,"'position' is used for specifying the positioning method used for an element, such as static, relative, or absolute.",Web Development,CSS Properties
"Which term matches this description: ""a reusable block of code designed to perform a specific task in a script""?",a JavaScript module,closures (in JavaScript),a JavaScript function,the spread operator (in JavaScript),C,The description matches a JavaScript function: a reusable block of code designed to perform a specific task in a script,Web Development,JavaScript
"Fill in the blank: ______ refers to ""the process of removing unnecessary characters from code to reduce file size without changing functionality"".",a dynamic website,minification (in web development),web page indexing (by search engines),browser caching (of static assets),B,minification (in web development) refers to: the process of removing unnecessary characters from code to reduce file size without changing functionality,Web Development,General Web Development
Which statement correctly describes client-side rendering (CSR)?,"a technique where a web page's content is generated in the browser using JavaScript, after the initial page load",data managed within a component that can change over time and triggers a re-render when updated,"a React hook that allows functional components to perform side effects, such as data fetching","a special attribute used to help React identify which list items have changed, been added, or removed",A,"By definition, client-side rendering (CSR) is: a technique where a web page's content is generated in the browser using JavaScript, after the initial page load",Web Development,Frontend
Which statement correctly describes Flexbox?,"a CSS layout module designed to arrange items within a container efficiently, even with dynamic sizes",a pattern used in CSS to select and style specific HTML elements,a utility-first CSS framework that provides low-level classes for building custom designs directly in HTML,a stylesheet used to remove browser default styling inconsistencies before applying custom styles,A,"By definition, Flexbox is: a CSS layout module designed to arrange items within a container efficiently, even with dynamic sizes",Web Development,CSS
What is the purpose of the CSS property 'cursor'?,aligning flex items along the cross axis of a flex container,specifying what happens when content overflows an element's box,specifying the type of cursor displayed when hovering over an element,"adding decorative lines to text, such as underline or strikethrough",C,The 'cursor' CSS property is used for specifying the type of cursor displayed when hovering over an element.,Web Development,CSS Properties
"Which term matches this description: ""a website that displays the same fixed content to every visitor, without server-side processing""?",a static website,a favicon,a full-stack developer,a URL (Uniform Resource Locator),A,"The description matches a static website: a website that displays the same fixed content to every visitor, without server-side processing",Web Development,General Web Development
"Fill in the blank: ______ refers to ""the practice of storing copies of files or data temporarily to reduce load times and server requests"".",a domain name,DNS (Domain Name System),web page latency,caching (in web development),D,caching (in web development) refers to: the practice of storing copies of files or data temporarily to reduce load times and server requests,Web Development,General Web Development
Which statement correctly describes PHP (in web development)?,a widely used server-side scripting language designed for web development,"a message sent by a client to a server, requesting a specific action or resource",a browser security feature that controls how resources can be requested from a different domain than the one serving the page,a way of storing information about a user's interaction with a website across multiple requests,A,"By definition, PHP (in web development) is: a widely used server-side scripting language designed for web development",Web Development,Backend
Which statement correctly describes a web framework?,the process of removing unnecessary characters from code to reduce file size without changing functionality,"a software framework designed to support the development of web applications, providing reusable components and structure",techniques used to improve the loading speed and responsiveness of a website,a secondary navigation aid that shows a user's location within a website's hierarchy,B,"By definition, a web framework is: a software framework designed to support the development of web applications, providing reusable components and structure",Web Development,General Web Development
