Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
Which statement correctly describes responsible AI?,guidelines established by an organisation defining acceptable and prohibited uses of an AI system,"an approach to developing and deploying AI systems in a safe, ethical, and accountable manner",concerns raised by some researchers about the long-term potential dangers of highly advanced or misaligned AI systems,a field of study focused on understanding the internal mechanisms by which AI models produce their outputs,B,"By definition, responsible AI is: an approach to developing and deploying AI systems in a safe, ethical, and accountable manner",AI – Artificial Intelligence,AI Ethics
What is a knowledge graph?,"a type of neural network used to learn efficient representations of data, often for dimensionality reduction or denoising","a structured representation of information that shows relationships between different entities, used to enhance AI reasoning",a modelling error where a model is too simple to capture the underlying patterns in the data,"a computing system inspired by biological neural networks, consisting of interconnected layers of nodes",B,"a knowledge graph is: a structured representation of information that shows relationships between different entities, used to enhance AI reasoning",AI – Artificial Intelligence,AI Basics
Which statement correctly describes hallucination (in AI)?,a neural network architecture consisting of a generator and discriminator that compete to produce realistic synthetic data,"the task, such as predicting the next word, that a model is trained to perform during its initial large-scale training phase",a phenomenon where an AI model generates information that sounds plausible but is factually incorrect,a decoding algorithm that explores multiple possible sequences simultaneously to find a high-probability output,C,"By definition, hallucination (in AI) is: a phenomenon where an AI model generates information that sounds plausible but is factually incorrect",AI – Artificial Intelligence,Generative AI
"Fill in the blank: ______ refers to ""the co-founder and CEO of DeepMind, known for leading the development of AlphaGo"".",Demis Hassabis,Yoshua Bengio,an AI winter,the term 'Artificial Intelligence',A,"Demis Hassabis refers to: the co-founder and CEO of DeepMind, known for leading the development of AlphaGo",AI – Artificial Intelligence,AI History
Which statement correctly describes a loss function?,the process of training a machine learning model across multiple machines or devices simultaneously,"a technique for assessing how a model's results generalise, by partitioning data into multiple training/testing splits","an approach to AI based on high-level symbolic representations of problems, logic, and reasoning",a mathematical function that measures the difference between a model's predictions and the actual target values,D,"By definition, a loss function is: a mathematical function that measures the difference between a model's predictions and the actual target values",AI – Artificial Intelligence,AI Basics
"Fill in the blank: ______ refers to ""a type of generative model that learns to encode data into a probabilistic latent space for generating new samples"".",hallucination (in AI),an AI model's context length limitation,a variational autoencoder (VAE),the generator (in a GAN),C,a variational autoencoder (VAE) refers to: a type of generative model that learns to encode data into a probabilistic latent space for generating new samples,AI – Artificial Intelligence,Generative AI
What is prompt engineering?,a neural network architecture consisting of a generator and discriminator that compete to produce realistic synthetic data,"the task, such as predicting the next word, that a model is trained to perform during its initial large-scale training phase",the practice of designing effective inputs to guide an AI model toward producing a desired output,a type of generative AI model often used to create images by gradually refining random noise into structured output,C,prompt engineering is: the practice of designing effective inputs to guide an AI model toward producing a desired output,AI – Artificial Intelligence,Generative AI
"Fill in the blank: ______ refers to ""a decoding strategy where the model chooses the next word from only the k most likely candidates"".",fine-tuning (in AI),style transfer (in AI),top-k sampling (in text generation),a foundation model,C,top-k sampling (in text generation) refers to: a decoding strategy where the model chooses the next word from only the k most likely candidates,AI – Artificial Intelligence,Generative AI
"Fill in the blank: ______ refers to ""the process of breaking down text into smaller units, such as words or subwords, for processing by an AI model"".",a virtual assistant,computer vision,an AI agent framework,tokenisation (in NLP),D,"tokenisation (in NLP) refers to: the process of breaking down text into smaller units, such as words or subwords, for processing by an AI model",AI – Artificial Intelligence,AI Applications
Which statement correctly describes an AI model card?,"a specific way in which an AI system can behave incorrectly or produce unintended, harmful outcomes","a document that provides transparency about a machine learning model's intended use, performance, and limitations",a technique used to protect individual data privacy while allowing useful aggregate analysis by AI systems,an approach where human judgment is incorporated into an AI system's decision-making process,B,"By definition, an AI model card is: a document that provides transparency about a machine learning model's intended use, performance, and limitations",AI – Artificial Intelligence,AI Ethics
"Fill in the blank: ______ refers to ""the number of predictions or tasks a model can process within a given time period"".",a policy (in reinforcement learning),a neural network's weights,an AI model's throughput,transfer learning,C,an AI model's throughput refers to: the number of predictions or tasks a model can process within a given time period,AI – Artificial Intelligence,AI Basics
Which statement correctly describes the generator (in a GAN)?,a technique that combines a language model with an external knowledge source to improve factual accuracy,a technique that encourages a language model to explain its reasoning step-by-step before giving a final answer,the component of a GAN responsible for creating new synthetic data samples,"a parameter that controls the randomness of a generative model's output, with higher values producing more varied text",C,"By definition, the generator (in a GAN) is: the component of a GAN responsible for creating new synthetic data samples",AI – Artificial Intelligence,Generative AI
"Which term matches this description: ""a technique that encourages a language model to explain its reasoning step-by-step before giving a final answer""?",reinforcement learning from human feedback (RLHF),grounding (in AI responses),text-to-image generation,chain-of-thought prompting,D,The description matches chain-of-thought prompting: a technique that encourages a language model to explain its reasoning step-by-step before giving a final answer,AI – Artificial Intelligence,Generative AI
What is AI governance?,AI systems designed to provide human-understandable explanations for their decisions and predictions,a field of study focused on understanding the internal mechanisms by which AI models produce their outputs,"the frameworks, policies, and practices used to guide the responsible development and deployment of AI technologies",a philosophical thought experiment by John Searle questioning whether a machine can truly 'understand' language,C,"AI governance is: the frameworks, policies, and practices used to guide the responsible development and deployment of AI technologies",AI – Artificial Intelligence,AI Ethics
"Which term matches this description: ""a rule of thumb or shortcut strategy used to make problem-solving more efficient, though not always optimal""?",an AI's confidence score,model compression,a heuristic (in AI),a search algorithm (in AI),C,"The description matches a heuristic (in AI): a rule of thumb or shortcut strategy used to make problem-solving more efficient, though not always optimal",AI – Artificial Intelligence,AI Basics
What is the alignment problem (in AI)?,the challenge of ensuring an AI system's goals and behaviours align with human values and intentions,a controversial application of AI in weapons capable of selecting and engaging targets without human intervention,systematic and unfair discrimination that can occur in AI systems due to biased training data or design,an attack where malicious instructions are embedded in input data to manipulate an AI model's behaviour,A,the alignment problem (in AI) is: the challenge of ensuring an AI system's goals and behaviours align with human values and intentions,AI – Artificial Intelligence,AI Ethics
"Fill in the blank: ______ refers to ""concerns related to how personal data is collected, stored, and used by AI systems"".",data privacy in AI,explainable AI (XAI),the Chinese Room argument,constitutional AI,A,"data privacy in AI refers to: concerns related to how personal data is collected, stored, and used by AI systems",AI – Artificial Intelligence,AI Ethics
"Fill in the blank: ______ refers to ""a mathematical function that measures the difference between a model's predictions and the actual target values"".",cosine similarity,the ReLU activation function,backpropagation,a loss function,D,a loss function refers to: a mathematical function that measures the difference between a model's predictions and the actual target values,AI – Artificial Intelligence,AI Basics
Which statement correctly describes an inference engine?,"the phase in which a trained model is used to make predictions on new, unseen data",a technique in neural networks that allows a model to focus on the most relevant parts of the input when producing output,"a database designed to store and efficiently search high-dimensional embeddings, often used with AI applications",a component of an expert system that applies logical rules to a knowledge base to derive conclusions,D,"By definition, an inference engine is: a component of an expert system that applies logical rules to a knowledge base to derive conclusions",AI – Artificial Intelligence,AI Basics
"Which term matches this description: ""an AI system developed by DeepMind that predicts the 3D structure of proteins from their amino acid sequences""?",AlphaFold,AI in healthcare,an anomaly detection system,fraud detection systems,A,The description matches AlphaFold: an AI system developed by DeepMind that predicts the 3D structure of proteins from their amino acid sequences,AI – Artificial Intelligence,AI Applications
What is the Turing Award?,"a computer scientist known for his contributions to deep learning, sharing the 2018 Turing Award","often called the 'Nobel Prize of Computing', awarded annually for major contributions to computer science, including AI",an IBM chess-playing computer that defeated world champion Garry Kasparov in 1997,a 1956 workshop widely considered the founding event of artificial intelligence as a field,B,"the Turing Award is: often called the 'Nobel Prize of Computing', awarded annually for major contributions to computer science, including AI",AI – Artificial Intelligence,AI History
Which statement correctly describes an AI model's refusal behaviour?,"issues related to fairness, transparency, privacy, and accountability in the design and use of AI systems",the tendency of an AI system to decline requests that violate its safety guidelines or usage policies,"studying methods to ensure AI systems behave reliably, safely, and in accordance with human intentions",a regulatory framework proposed by the European Union to govern the development and use of artificial intelligence,B,"By definition, an AI model's refusal behaviour is: the tendency of an AI system to decline requests that violate its safety guidelines or usage policies",AI – Artificial Intelligence,AI Ethics
"Which term matches this description: ""a large AI model trained on broad data that can be adapted to a wide range of downstream tasks""?",grounding (in AI responses),a foundation model,a language model's temperature setting,prompt engineering,B,The description matches a foundation model: a large AI model trained on broad data that can be adapted to a wide range of downstream tasks,AI – Artificial Intelligence,Generative AI
"Fill in the blank: ______ refers to ""the dataset used to teach an AI model to recognise patterns and make predictions"".",the attention mechanism,an AI model's training data,an AI compute cluster,an AI benchmark,B,an AI model's training data refers to: the dataset used to teach an AI model to recognise patterns and make predictions,AI – Artificial Intelligence,AI Basics
Which statement correctly describes the Dartmouth Conference?,"a computer scientist known for his contributions to deep learning, sharing the 2018 Turing Award","a period of reduced funding and interest in artificial intelligence research, occurring after periods of hype",an IBM chess-playing computer that defeated world champion Garry Kasparov in 1997,a 1956 workshop widely considered the founding event of artificial intelligence as a field,D,"By definition, the Dartmouth Conference is: a 1956 workshop widely considered the founding event of artificial intelligence as a field",AI – Artificial Intelligence,AI History
"Which term matches this description: ""the amount of text a language model can consider at once when generating a response""?",a language model's temperature setting,an AI writing assistant,context window (in LLMs),a prompt (in Generative AI),C,The description matches context window (in LLMs): the amount of text a language model can consider at once when generating a response,AI – Artificial Intelligence,Generative AI
"Which term matches this description: ""synthetic media in which a person's likeness is replaced or manipulated using AI, raising ethical concerns""?",an AI-generated deepfake,an AI bias audit,human-in-the-loop AI,interpretability research (in AI),A,"The description matches an AI-generated deepfake: synthetic media in which a person's likeness is replaced or manipulated using AI, raising ethical concerns",AI – Artificial Intelligence,AI Ethics
What is an AI model's system prompt?,the input text or instruction given to an AI model to guide the content it generates,the component of a GAN responsible for creating new synthetic data samples,"AI capable of creating new content, such as text, images, or music, based on patterns learned from training data","instructions given to an AI model before user interaction begins, shaping its behaviour and tone",D,"an AI model's system prompt is: instructions given to an AI model before user interaction begins, shaping its behaviour and tone",AI – Artificial Intelligence,Generative AI
What is Yann LeCun?,a British mathematician and computer scientist often regarded as the father of theoretical computer science and artificial intelligence,a computer scientist known for his foundational work on convolutional neural networks,an AI program developed by DeepMind that defeated a world champion Go player in 2016,"a computer scientist known for his contributions to deep learning, sharing the 2018 Turing Award",B,Yann LeCun is: a computer scientist known for his foundational work on convolutional neural networks,AI – Artificial Intelligence,AI History
"Which term matches this description: ""the large collection of text or data used to train a language model""?",an AI writing assistant,an AI's training corpus,a foundation model,an AI model's context length limitation,B,The description matches an AI's training corpus: the large collection of text or data used to train a language model,AI – Artificial Intelligence,Generative AI
"Which term matches this description: ""an approach where human judgment is incorporated into an AI system's decision-making process""?",an AI model's guardrails,an AI-generated deepfake,an AI incident report,human-in-the-loop AI,D,The description matches human-in-the-loop AI: an approach where human judgment is incorporated into an AI system's decision-making process,AI – Artificial Intelligence,AI Ethics
Which statement correctly describes multi-agent systems?,"the total number of learnable weights in a neural network, often used as a rough indicator of model scale",systems composed of multiple interacting intelligent agents working together or competing to solve problems,a ranking system that compares the performance of different AI models on specific benchmarks or tasks,the process of using large groups of people to annotate data used for training AI models,B,"By definition, multi-agent systems is: systems composed of multiple interacting intelligent agents working together or competing to solve problems",AI – Artificial Intelligence,AI Basics
What is Siri?,"Apple's voice-activated virtual assistant, using AI to respond to user commands and queries",an AI application used to automatically assess and score student assignments or exams,"the application of AI for tasks such as crop monitoring, yield prediction, and precision farming",an AI model that condenses long documents into shorter summaries while retaining key information,A,"Siri is: Apple's voice-activated virtual assistant, using AI to respond to user commands and queries",AI – Artificial Intelligence,AI Applications
What is zero-shot learning?,the ability of an AI model to correctly perform a task it has not been explicitly trained on,a type of machine learning where an agent learns to make decisions by receiving rewards or penalties from its environment,a type of neural network especially effective for processing grid-like data such as images,a numerical value indicating how certain a model is about a particular prediction or classification,A,zero-shot learning is: the ability of an AI model to correctly perform a task it has not been explicitly trained on,AI – Artificial Intelligence,AI Basics
"Which term matches this description: ""a search heuristic inspired by natural selection, used to generate optimal solutions by evolving candidate solutions""?",a genetic algorithm,a heuristic (in AI),exploration vs exploitation (in RL),a loss function,A,"The description matches a genetic algorithm: a search heuristic inspired by natural selection, used to generate optimal solutions by evolving candidate solutions",AI – Artificial Intelligence,AI Basics
What is a loss function?,systems composed of multiple interacting intelligent agents working together or competing to solve problems,a numerical result showing how well a model performs on a standardised test compared to others,a mathematical function that measures the difference between a model's predictions and the actual target values,"artificially generated data used to train AI models, especially when real data is scarce or sensitive",C,a loss function is: a mathematical function that measures the difference between a model's predictions and the actual target values,AI – Artificial Intelligence,AI Basics
What is AI in weather forecasting?,the use of AI models to analyse atmospheric data and improve the accuracy of weather predictions,AI applications that identify unusual patterns in data to detect potentially fraudulent activity,"the application of AI to optimise inventory, logistics, and demand forecasting in supply chains","the use of AI and sensor data to optimise farming practices, including irrigation and fertilisation",A,AI in weather forecasting is: the use of AI models to analyse atmospheric data and improve the accuracy of weather predictions,AI – Artificial Intelligence,AI Applications
"Fill in the blank: ______ refers to ""a technique used to protect individual data privacy while allowing useful aggregate analysis by AI systems"".",existential risk from AI,differential privacy,the term 'black box' (in AI),model interpretability,B,differential privacy refers to: a technique used to protect individual data privacy while allowing useful aggregate analysis by AI systems,AI – Artificial Intelligence,AI Ethics
What is the A* search algorithm?,a specialised hardware chip developed by Google to accelerate machine learning computations,a popular pathfinding and graph traversal algorithm known for its efficiency and accuracy,"a numerical representation of data, such as words or images, that captures semantic relationships in a lower-dimensional space",a commonly used activation function that outputs zero for negative inputs and the input itself for positive inputs,B,the A* search algorithm is: a popular pathfinding and graph traversal algorithm known for its efficiency and accuracy,AI – Artificial Intelligence,AI Basics
What is grounding (in AI responses)?,"a unit of text, such as a word or part of a word, used by language models to process and generate language","the task, such as predicting the next word, that a model is trained to perform during its initial large-scale training phase","instructions given to an AI model before user interaction begins, shaping its behaviour and tone",the practice of basing an AI model's output on verifiable external sources rather than only its internal training knowledge,D,grounding (in AI responses) is: the practice of basing an AI model's output on verifiable external sources rather than only its internal training knowledge,AI – Artificial Intelligence,Generative AI
Which statement correctly describes model quantisation?,a machine learning technique that combines predictions from multiple models to improve accuracy,numerical parameters within a neural network that are adjusted during training to improve accuracy,a technique that reduces the precision of a model's numerical parameters to make it smaller and faster,a saved snapshot of a model's parameters at a specific point during training,C,"By definition, model quantisation is: a technique that reduces the precision of a model's numerical parameters to make it smaller and faster",AI – Artificial Intelligence,AI Basics
"Which term matches this description: ""the phase in which a trained model is used to make predictions on new, unseen data""?",an AI model's inference stage,word embeddings,a pretrained model,a policy (in reinforcement learning),A,"The description matches an AI model's inference stage: the phase in which a trained model is used to make predictions on new, unseen data",AI – Artificial Intelligence,AI Basics
"Which term matches this description: ""the simplest type of artificial neural network, consisting of a single layer used for binary classification""?",a convolutional neural network (CNN),an AI system's latency,an autoencoder,a perceptron,D,"The description matches a perceptron: the simplest type of artificial neural network, consisting of a single layer used for binary classification",AI – Artificial Intelligence,AI Basics
What is an AI audit?,an approach to training AI systems to follow a set of guiding principles to improve safety and alignment,a controversial application of AI in weapons capable of selecting and engaging targets without human intervention,a technique used to embed identifiable markers into AI-generated content to indicate its artificial origin,"an independent review of an AI system to assess its fairness, accuracy, safety, and compliance with regulations",D,"an AI audit is: an independent review of an AI system to assess its fairness, accuracy, safety, and compliance with regulations",AI – Artificial Intelligence,AI Ethics
What is edge AI?,an AI application that identifies or verifies a person's identity using their facial features,"the deployment of AI algorithms directly on local devices, rather than relying on cloud-based processing",the process by which a chatbot identifies the underlying purpose or goal behind a user's message,the use of AI systems to assist medical professionals in interpreting medical images and identifying conditions,B,"edge AI is: the deployment of AI algorithms directly on local devices, rather than relying on cloud-based processing",AI – Artificial Intelligence,AI Applications
Which statement correctly describes top-k sampling (in text generation)?,a type of generative AI model often used to create images by gradually refining random noise into structured output,a decoding strategy where the model chooses the next word from only the k most likely candidates,a technique that encourages a language model to explain its reasoning step-by-step before giving a final answer,a technique that combines a language model with an external knowledge source to improve factual accuracy,B,"By definition, top-k sampling (in text generation) is: a decoding strategy where the model chooses the next word from only the k most likely candidates",AI – Artificial Intelligence,Generative AI
Which statement correctly describes an AI conversational agent's turn-taking?,"Apple's voice-activated virtual assistant, using AI to respond to user commands and queries",a technique that makes recommendations based on the preferences of similar users,the mechanism by which a chatbot manages the flow of dialogue between itself and the user,the use of AI systems to automatically detect and filter inappropriate or harmful content online,C,"By definition, an AI conversational agent's turn-taking is: the mechanism by which a chatbot manages the flow of dialogue between itself and the user",AI – Artificial Intelligence,AI Applications
Which statement correctly describes Yoshua Bengio?,a computer scientist known for his foundational work on convolutional neural networks,an AI program developed by DeepMind that defeated a world champion Go player in 2016,an IBM chess-playing computer that defeated world champion Garry Kasparov in 1997,"a computer scientist known for his contributions to deep learning, sharing the 2018 Turing Award",D,"By definition, Yoshua Bengio is: a computer scientist known for his contributions to deep learning, sharing the 2018 Turing Award",AI – Artificial Intelligence,AI History
"Which term matches this description: ""the process of training a machine learning model across multiple machines or devices simultaneously""?",an open-weights AI model,a transformer model,an AI agent's reward function,distributed training (in AI),D,The description matches distributed training (in AI): the process of training a machine learning model across multiple machines or devices simultaneously,AI – Artificial Intelligence,AI Basics
"Fill in the blank: ______ refers to ""a field involving the design and creation of robots, often incorporating AI for perception and decision-making"".",robotics,DeepMind,a chatbot,Natural Language Processing (NLP),A,"robotics refers to: a field involving the design and creation of robots, often incorporating AI for perception and decision-making",AI – Artificial Intelligence,AI Applications
"Fill in the blank: ______ refers to ""a dialogue between a user and an AI system that spans several exchanges, with the model retaining earlier context"".",an AI copilot tool,multi-turn conversation (in AI chat),an AI-powered search engine,AI content moderation,B,"multi-turn conversation (in AI chat) refers to: a dialogue between a user and an AI system that spans several exchanges, with the model retaining earlier context",AI – Artificial Intelligence,AI Applications
What is style transfer (in AI)?,an AI technique that applies the visual style of one image to the content of another,"the task, such as predicting the next word, that a model is trained to perform during its initial large-scale training phase",the component of a GAN responsible for distinguishing between real and generated data,a type of generative model that learns to encode data into a probabilistic latent space for generating new samples,A,style transfer (in AI) is: an AI technique that applies the visual style of one image to the content of another,AI – Artificial Intelligence,Generative AI
"Fill in the blank: ______ refers to ""how accurately a model can understand and carry out the specific instructions given in a prompt"".",an AI model's context length limitation,an AI model's instruction-following ability,voice cloning,the discriminator (in a GAN),B,an AI model's instruction-following ability refers to: how accurately a model can understand and carry out the specific instructions given in a prompt,AI – Artificial Intelligence,Generative AI
Which statement correctly describes an AI model's benchmark score?,a ranking system that compares the performance of different AI models on specific benchmarks or tasks,a numerical result showing how well a model performs on a standardised test compared to others,a mathematical function that measures the difference between a model's predictions and the actual target values,"an activation function that maps input values to a range between 0 and 1, often used in binary classification",B,"By definition, an AI model's benchmark score is: a numerical result showing how well a model performs on a standardised test compared to others",AI – Artificial Intelligence,AI Basics
"Which term matches this description: ""a software framework used to systematically test and score an AI model's performance on various tasks""?",an AI agent's reward function,an AI evaluation harness,an AI model's parameters,Markov Decision Processes (MDPs),B,The description matches an AI evaluation harness: a software framework used to systematically test and score an AI model's performance on various tasks,AI – Artificial Intelligence,AI Basics
Which statement correctly describes AI governance?,guidelines established by an organisation defining acceptable and prohibited uses of an AI system,"issues related to fairness, transparency, privacy, and accountability in the design and use of AI systems","a specific way in which an AI system can behave incorrectly or produce unintended, harmful outcomes","the frameworks, policies, and practices used to guide the responsible development and deployment of AI technologies",D,"By definition, AI governance is: the frameworks, policies, and practices used to guide the responsible development and deployment of AI technologies",AI – Artificial Intelligence,AI Ethics
What is case-based reasoning?,"a field of AI inspired by the collective behaviour of decentralised systems, such as ant colonies or bird flocks",a strategy that defines the actions an agent takes based on the current state of its environment,an AI approach that solves new problems by referring to solutions used for similar problems in the past,a type of neural network especially effective for processing grid-like data such as images,C,case-based reasoning is: an AI approach that solves new problems by referring to solutions used for similar problems in the past,AI – Artificial Intelligence,AI Basics
Which statement correctly describes Super AI?,"the internal variables that a model learns from training data, which determine its behaviour and predictions",a hypothetical form of AI that would surpass human intelligence across all domains,a subset of data used to tune a model's hyperparameters and evaluate performance during training,"a configuration setting external to a model that governs the training process, such as learning rate",B,"By definition, Super AI is: a hypothetical form of AI that would surpass human intelligence across all domains",AI – Artificial Intelligence,AI Basics
What is a convolutional neural network (CNN)?,a type of neural network especially effective for processing grid-like data such as images,the surface that separates different classes predicted by a classification model,a specialised hardware chip developed by Google to accelerate machine learning computations,a machine learning technique where a model trained on one task is adapted for use on a related task,A,a convolutional neural network (CNN) is: a type of neural network especially effective for processing grid-like data such as images,AI – Artificial Intelligence,AI Basics
"Fill in the blank: ______ refers to ""a field of AI focused on enabling computers to understand, interpret, and generate human language"".",an AI-generated caption,a virtual assistant,Alexa,Natural Language Processing (NLP),D,"Natural Language Processing (NLP) refers to: a field of AI focused on enabling computers to understand, interpret, and generate human language",AI – Artificial Intelligence,AI Applications
What is General AI (Strong AI)?,"a hypothetical form of AI with the ability to understand, learn, and apply intelligence across a wide range of tasks, similar to humans","a mathematical function applied to a neuron's output in a neural network, introducing non-linearity",a ranking system that compares the performance of different AI models on specific benchmarks or tasks,"a computing system inspired by biological neural networks, consisting of interconnected layers of nodes",A,"General AI (Strong AI) is: a hypothetical form of AI with the ability to understand, learn, and apply intelligence across a wide range of tasks, similar to humans",AI – Artificial Intelligence,AI Basics
Which statement correctly describes chain-of-thought prompting?,a technique that encourages a language model to explain its reasoning step-by-step before giving a final answer,the practice of an AI system referencing its sources when presenting factual claims drawn from external information,a phenomenon where an AI model generates information that sounds plausible but is factually incorrect,a type of generative AI model often used to create images by gradually refining random noise into structured output,A,"By definition, chain-of-thought prompting is: a technique that encourages a language model to explain its reasoning step-by-step before giving a final answer",AI – Artificial Intelligence,Generative AI
Which statement correctly describes an environment (in reinforcement learning)?,"a search heuristic inspired by natural selection, used to generate optimal solutions by evolving candidate solutions","a subset of data used to evaluate a final model's performance, kept separate from training data",a function that defines the goal of an intelligent agent by assigning value to different outcomes,"the external system with which an AI agent interacts, providing states, actions, and rewards",D,"By definition, an environment (in reinforcement learning) is: the external system with which an AI agent interacts, providing states, actions, and rewards",AI – Artificial Intelligence,AI Basics
"Which term matches this description: ""the task, such as predicting the next word, that a model is trained to perform during its initial large-scale training phase""?",a variational autoencoder (VAE),top-k sampling (in text generation),an AI model's pretraining objective,an AI model's citation behaviour,C,"The description matches an AI model's pretraining objective: the task, such as predicting the next word, that a model is trained to perform during its initial large-scale training phase",AI – Artificial Intelligence,Generative AI
"Fill in the blank: ______ refers to ""an AI assistant integrated into software, such as a code editor, to help users complete tasks more efficiently"".",computer vision,speech recognition,an AI copilot tool,OpenAI,C,"an AI copilot tool refers to: an AI assistant integrated into software, such as a code editor, to help users complete tasks more efficiently",AI – Artificial Intelligence,AI Applications
Which statement correctly describes tool use (in AI agents)?,an AI research and deployment company known for developing models such as GPT and DALL-E,"Apple's voice-activated virtual assistant, using AI to respond to user commands and queries","an AI system developed by IBM, notable for winning the quiz show Jeopardy! in 2011","the ability of an AI system to call external functions, APIs, or software tools to complete a task",D,"By definition, tool use (in AI agents) is: the ability of an AI system to call external functions, APIs, or software tools to complete a task",AI – Artificial Intelligence,AI Applications
Which statement correctly describes an AI-powered drug discovery platform?,"the deployment of AI algorithms directly on local devices, rather than relying on cloud-based processing",a system that uses AI to identify potential new medications by analysing molecular data,an AI application that automatically translates text or speech from one language to another,an AI system developed by DeepMind that predicts the 3D structure of proteins from their amino acid sequences,B,"By definition, an AI-powered drug discovery platform is: a system that uses AI to identify potential new medications by analysing molecular data",AI – Artificial Intelligence,AI Applications
Which statement correctly describes constitutional AI?,an approach to training AI systems to follow a set of guiding principles to improve safety and alignment,"documentation describing an AI model's capabilities, limitations, and safety evaluations for a specific deployment",a philosophical thought experiment by John Searle questioning whether a machine can truly 'understand' language,a technique used to embed identifiable markers into AI-generated content to indicate its artificial origin,A,"By definition, constitutional AI is: an approach to training AI systems to follow a set of guiding principles to improve safety and alignment",AI – Artificial Intelligence,AI Ethics
"Fill in the blank: ______ refers to ""the process of using large groups of people to annotate data used for training AI models"".",the Turing Test,crowd-sourced data labelling,a TPU (Tensor Processing Unit),fuzzy logic,B,crowd-sourced data labelling refers to: the process of using large groups of people to annotate data used for training AI models,AI – Artificial Intelligence,AI Basics
"Which term matches this description: ""the input text or instruction given to an AI model to guide the content it generates""?",prompt engineering,a Large Language Model (LLM),context window (in LLMs),a prompt (in Generative AI),D,The description matches a prompt (in Generative AI): the input text or instruction given to an AI model to guide the content it generates,AI – Artificial Intelligence,Generative AI
