Game Question No.,Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
33,What is the angle between the hour and minute hands of a clock at 4:21?,25.5°,19.5°,14.5°,4.5°,D,Angle = |30×hour − 5.5×minute| = |30×4 − 5.5×21| = 4.5° (taking the smaller angle).,Puzzles,Clock Puzzles
34,"White has 1 pawn, 1 bishop, 1 rook, 1 queen. Black has 7 pawns, 1 bishop, 1 rook. Using standard piece values, who has the material advantage and by how many points?",Black is ahead by 2 point(s),White is ahead by 4 point(s),Black is ahead by 6 point(s),White is ahead by 3 point(s),D,"White's material = 18. Black's material = 15. Difference = 3, so White is ahead by 3 point(s).",Chess,Piece Values
35,What is 650 ÷ 5?,129,126,132,130,D,"650 ÷ 5 = 130, since 5 × 130 = 650.",Math / Mathematics,Division
36,Which event happened closest to the year 1912?,The reign of Ashoka the Great,The atomic bombings of Hiroshima and Nagasaki,The sinking of the Titanic,The Russian Revolution,C,The sinking of the Titanic occurred in approximately 1912.,History,Modern History
37,Which statement correctly describes a transformer?,an instrument used to measure electric potential difference (voltage),a device that converts electrical energy into mechanical energy,"a device that transfers electrical energy between circuits, typically changing voltage levels",the temperature at which a liquid turns into a gas,C,"By definition, a transformer is: a device that transfers electrical energy between circuits, typically changing voltage levels",Science,Physics
38,What is SpaceX?,"a probabilistic formula used to estimate the number of active, communicative extraterrestrial civilisations in the Milky Way","a private American aerospace company founded by Elon Musk, known for developing reusable rockets",a satellite used to monitor Earth's weather and climate patterns,the process by which stars create heavier elements from lighter ones through nuclear fusion,B,"SpaceX is: a private American aerospace company founded by Elon Musk, known for developing reusable rockets",Space,Space Agencies
39,What is the English meaning of the Kannada word 'ಸ್ನೇಹಿತ'?,friend,morning,younger sister,fire,A,'ಸ್ನೇಹಿತ' means 'friend' in English.,Kannada Subjects,Vocabulary
40,Choose the word that is similar in meaning to 'ask':,inquire,silent,ordinary,vend,A,'inquire' is similar in meaning to 'ask'.,English Subjects,Synonyms
41,"Fill in the blank: ______ refers to ""imaginary vertical lines on Earth's surface used to measure distance east or west of the Prime Meridian"".",a tsunami,remote sensing,longitude,the Prime Meridian,C,longitude refers to: imaginary vertical lines on Earth's surface used to measure distance east or west of the Prime Meridian,Social Science,Geography
42,Which file extension is typically used for a Microsoft PowerPoint presentation?,.txt,.log,.pptx,.iso,C,Files that are a Microsoft PowerPoint presentation typically use the extension '.pptx'.,Software,File Formats
43,How many Megabyte (MB)s is 45 Kilobyte (KB)(s) equal to?,45,0.0878906,0.0439453,0.00439453,C,"1 Kilobyte (KB) = 1024^-1 Megabyte (MB)(s) (relative scale), so 45 Kilobyte (KB)(s) = 0.0439453 Megabyte (MB)(s).",Hardware,Storage Units
44,"Which term matches this description: ""a type of neural network used to learn efficient representations of data, often for dimensionality reduction or denoising""?",model compression,an autoencoder,a pretrained model,a closed-source AI model,B,"The description matches an autoencoder: a type of neural network used to learn efficient representations of data, often for dimensionality reduction or denoising",AI – Artificial Intelligence,AI Basics
45,"Fill in the blank: ______ refers to ""a subset of AI that enables systems to learn patterns from data and improve performance without being explicitly programmed"".",Machine Learning (ML),early stopping,XGBoost,reinforcement learning,A,Machine Learning (ML) refers to: a subset of AI that enables systems to learn patterns from data and improve performance without being explicitly programmed,ML – Machine Learning,ML Basics
46,What is the Nile River?,"widely regarded as the longest river in the world, flowing through northeastern Africa",the largest and deepest of Earth's oceanic divisions,"the largest river by discharge volume of water in the world, flowing through South America","a salt lake bordered by Jordan and Israel, known for its extremely high salinity",A,"the Nile River is: widely regarded as the longest river in the world, flowing through northeastern Africa",General Knowledge (GK),Geography
47,A team scores at a run rate of 8.26 runs per over for 48 overs. Approximately how many runs have they scored?,381,401,386,396,D,Runs ≈ Run rate × Overs = 8.26 × 48 ≈ 396 runs.,Cricket,Scoring Calculations
48,A quantity of 422 is decreased by 40%. What is the new value?,248,253,273,238,B,"40% of 422 = 169. Since it decreased, new value = 422 - 169 = 253.",Aptitude,Percentage
49,What is the purpose of the HTML tag <tr>?,defining introductory content or navigation links for a page or section,defining a standard data cell within an HTML table,"indicating emphasised text, typically displayed in italics",defining a row within an HTML table,D,The <tr> tag is used for defining a row within an HTML table.,Web Development,HTML Tags
50,"Find the next number in the sequence: 18, 20, 38, 58, 96, ?",154,159,157,162,A,Each number is the sum of the two before it. Next = 58 + 96 = 154.,Puzzles,Number Sequence
51,"White has 5 pawns, 2 knights, 1 queen. Black has 4 pawns, 1 knight, 2 bishops, 2 rooks, 1 queen. Using standard piece values, who has the material advantage and by how many points?",White is ahead by 11 point(s),White is ahead by 9 point(s),Black is ahead by 11 point(s),Black is ahead by 12 point(s),D,"White's material = 20. Black's material = 32. Difference = 12, so Black is ahead by 12 point(s).",Chess,Piece Values
52,What is 64 × 31?,1920,1986,1984,1994,C,64 × 31 = 1984.,Math / Mathematics,Multiplication
53,Which event happened closest to the year 1642?,The Black Death,The English Civil War,The American Civil War,The American Declaration of Independence,B,The English Civil War occurred in approximately 1642.,History,Modern History
54,Which statement correctly describes static electricity?,the buildup of electric charge on the surface of an object,a closed path through which electric current flows,"vibrations that travel through a medium such as air, allowing us to hear",a device that converts electrical energy into mechanical energy,A,"By definition, static electricity is: the buildup of electric charge on the surface of an object",Science,Physics
55,Which statement correctly describes the Kuiper Belt?,"primarily composed of ice particles, with smaller amounts of rocky debris and dust",a region between Mars and Jupiter containing numerous small rocky bodies orbiting the Sun,"a large planet composed mainly of heavier volatile substances like water, ammonia, and methane, such as Uranus and Neptune","a region of the solar system beyond Neptune containing icy bodies, including the dwarf planet Pluto",D,"By definition, the Kuiper Belt is: a region of the solar system beyond Neptune containing icy bodies, including the dwarf planet Pluto",Space,Solar System
56,"Which term matches this description: ""a saint-composer regarded as the 'father of Carnatic music', who composed devotional songs in Kannada""?",Karnataka's state emblem,Karnataka's state bird,Purandara Dasa,Karnataka's state tree,C,"The description matches Purandara Dasa: a saint-composer regarded as the 'father of Carnatic music', who composed devotional songs in Kannada",Kannada Subjects,Kannada Culture
57,Choose the word that is similar in meaning to 'useful':,chuckle,beneficial,furious,gorgeous,B,'beneficial' is similar in meaning to 'useful'.,English Subjects,Synonyms
58,"Which term matches this description: ""the quantity of a good or service that producers are willing and able to offer for sale at a given price""?",a cooperative society,consumer rights,supply in economics,direct tax,C,The description matches supply in economics: the quantity of a good or service that producers are willing and able to offer for sale at a given price,Social Science,Economics
59,Which statement correctly describes a programming language?,"a small, reusable block of source code that performs a specific function",a mechanism by which one class can acquire properties and behaviours from another class,"a formal language comprising a set of instructions used to produce various kinds of output, such as software programs","a high-level, general-purpose programming language known for its readability and wide use in data science and web development",C,"By definition, a programming language is: a formal language comprising a set of instructions used to produce various kinds of output, such as software programs",Software,Programming
60,What is an ethernet cable?,a wireless networking technology that allows devices to connect to the internet without physical cables,"a basic networking device that connects multiple devices, broadcasting data to all connected ports",a cable used to connect devices within a local area network for wired internet access,a device that converts digital data into analog signals (and vice versa) for transmission over communication lines,C,an ethernet cable is: a cable used to connect devices within a local area network for wired internet access,Hardware,Networking Hardware
61,Which statement correctly describes an AI hackathon?,an AI application that automatically translates text or speech from one language to another,AI applications that identify unusual patterns in data to detect potentially fraudulent activity,"an AI-powered application that performs tasks or services for a user based on commands, such as Siri or Alexa",an event where participants collaboratively build AI-based projects or solutions within a limited time frame,D,"By definition, an AI hackathon is: an event where participants collaboratively build AI-based projects or solutions within a limited time frame",AI – Artificial Intelligence,AI Applications
62,Which statement correctly describes class imbalance?,a technique for assessing how well a model generalises by partitioning data into multiple training and testing subsets,a situation in classification problems where one class significantly outnumbers other classes in the training data,a machine learning technique that combines predictions from multiple models to improve overall performance,the number of training examples used in one iteration of model parameter updates,B,"By definition, class imbalance is: a situation in classification problems where one class significantly outnumbers other classes in the training data",ML – Machine Learning,ML Basics
63,Which currency would you use for everyday transactions in Ireland?,South African Rand,Ethiopian Birr,Libyan Dinar,Euro,D,Ireland uses the Euro as its official currency.,General Knowledge (GK),Currencies
64,What is stumping?,an ICC competition determining the best Test cricket team over a two-year cycle,"a method of dismissal where the wicketkeeper breaks the stumps while the batsman is out of the crease, typically off a spin delivery","an Australian cricketer regarded as the greatest Test batsman ever, with a Test batting average of 99.94","a dismissal on the very first ball a batsman faces, for zero runs",B,"stumping is: a method of dismissal where the wicketkeeper breaks the stumps while the batsman is out of the crease, typically off a spin delivery",Cricket,Rules
65,"Find the average of these numbers: 100, 51, 96, 90, 83.",86,83,84,79,C,"Sum = 420, Count = 5, Average = 420/5 = 84.",Aptitude,Averages
66,Which HTML tag is used for inserting a horizontal rule (thematic break)?,<hr>,<article>,<th>,<h1> to <h6>,A,<hr> is used for inserting a horizontal rule (thematic break).,Web Development,HTML Tags
67,"In each row, the third number is the product of the first two: [10, 11, 110], [4, 10, 40], [2, 7, ?]. Find the missing number.",12,14,8,24,B,"Following the pattern, the missing number = 2 × 7 = 14.",Puzzles,Pattern Puzzle
68,"Using standard piece values (pawn=1, knight=3, bishop=3, rook=5, queen=9), what is the total material value of: 4 pawns, 1 rook, 1 queen?",14,17,19,18,D,Total value = 4×1 + 1×5 + 1×9 = 18.,Chess,Piece Values
69,What is 7320 ÷ 40?,185,186,183,187,C,"7320 ÷ 40 = 183, since 40 × 183 = 7320.",Math / Mathematics,Division
70,"Fill in the blank: ______ refers to ""the hereditary military nobility of medieval and early-modern Japan"".",the medieval feudal system in Japan,the samurai,Joan of Arc,the Byzantine Empire,B,the samurai refers to: the hereditary military nobility of medieval and early-modern Japan,History,Medieval History
71,What is the chemical symbol for Silver?,F,Ag,Nb,W,B,The chemical symbol for Silver is Ag.,Science,Periodic Table
72,Which planet does the moon Titania orbit?,Saturn,Neptune,Jupiter,Uranus,D,Titania is a moon of Uranus.,Space,Moons
73,"Which term matches this description: ""a respected Kannada writer and philosopher, best known for his work 'Mankutimmana Kagga'""?",Ha Ma Nayak,D V Gundappa (DVG),V K Gokak,Da Ra Bendre,B,"The description matches D V Gundappa (DVG): a respected Kannada writer and philosopher, best known for his work 'Mankutimmana Kagga'",Kannada Subjects,Kannada Literature
74,Choose the correct article to fill the blank: '___ zebra',no article,an,a,the,C,"'zebra' starts with a consonant sound, so the correct article is 'a'.",English Subjects,Articles
75,Which statement correctly describes a market economy?,the quantity of a good or service that consumers are willing and able to purchase at a given price,investment made by a company or individual in one country into business interests located in another country,an economic system in which decisions about production and pricing are guided by supply and demand,policies aimed at redistributing agricultural land and abolishing intermediary landlordism after independence,C,"By definition, a market economy is: an economic system in which decisions about production and pricing are guided by supply and demand",Social Science,Economics
76,Which statement correctly describes a syntax error?,a diagram that represents a process or algorithm using various symbols connected by arrows,"the bundling of data and methods that operate on that data within a single unit, restricting direct access to some components",an error caused by incorrect use of a programming language's grammar rules,a standard programming language used to manage and manipulate relational databases,C,"By definition, a syntax error is: an error caused by incorrect use of a programming language's grammar rules",Software,Programming
77,Which statement correctly describes the GPU (Graphics Processing Unit)?,"a keyboard that uses individual mechanical switches for each key, often preferred for tactile feedback","a small, portable data storage device that uses flash memory and connects via a USB port","a specialised processor designed to accelerate rendering of images, video, and animations",a wireless networking technology that allows devices to connect to the internet without physical cables,C,"By definition, the GPU (Graphics Processing Unit) is: a specialised processor designed to accelerate rendering of images, video, and animations",Hardware,Processors
78,Which statement correctly describes an AI model's pretraining objective?,a decoding strategy where the model chooses the next word from only the k most likely candidates,"the task, such as predicting the next word, that a model is trained to perform during its initial large-scale training phase",a technique that combines a language model with an external knowledge source to improve factual accuracy,the practice of basing an AI model's output on verifiable external sources rather than only its internal training knowledge,B,"By definition, an AI model's pretraining objective is: the task, such as predicting the next word, that a model is trained to perform during its initial large-scale training phase",AI – Artificial Intelligence,Generative AI
79,"A classifier has 22 true positives, 142 true negatives, 41 false positives, and 84 false negatives. What is its accuracy (rounded to 2 decimal places)?",0.57,0.67,0.72,0.27,A,Accuracy = (TP+TN)/(TP+TN+FP+FN) = (22+142)/(22+142+41+84) = 0.57.,ML – Machine Learning,Model Evaluation
80,A traveller lands in Bogotá. Which country are they most likely visiting?,Colombia,Serbia,Kenya,Mongolia,A,Bogotá is the capital city of Colombia.,General Knowledge (GK),Countries and Capitals
81,Which statement correctly describes Shane Warne?,"an Australian cricketer regarded as the greatest Test batsman ever, with a Test batting average of 99.94","the Indian captain who led India to victory in the 2007 T20 World Cup, 2011 World Cup, and 2013 Champions Trophy",an Australian leg-spin bowler regarded as one of the greatest bowlers in cricket history,a West Indian batsman who holds the record for the highest individual score in Test cricket (400 not out),C,"By definition, Shane Warne is: an Australian leg-spin bowler regarded as one of the greatest bowlers in cricket history",Cricket,Players
82,Is 856 divisible by 3?,No,Yes,Cannot say,Only sometimes,A,"856 ÷ 3 leaves remainder 1, so the answer is No.",Aptitude,Divisibility
83,"Which term matches this description: ""typically small, such as 16x16 or 32x32 pixels, designed to display clearly at small sizes""?",an anchor tag (<a>),a favicon's dimensions,a meta description tag,an HTML element,B,"The description matches a favicon's dimensions: typically small, such as 16x16 or 32x32 pixels, designed to display clearly at small sizes",Web Development,HTML
84,"If today is Monday, what day of the week will it be after 53 days?",Thursday,Wednesday,Sunday,Friday,D,53 days = 7 full weeks and 4 extra day(s). Counting 4 day(s) forward from Monday gives Friday.,Puzzles,Calendar Puzzles
85,"White has 6 pawns, 2 bishops, 1 rook, 1 queen. Black has 7 pawns, 1 knight, 2 bishops, 2 rooks, 1 queen. Using standard piece values, who has the material advantage and by how many points?",White is ahead by 11 point(s),White is ahead by 8 point(s),Black is ahead by 7 point(s),Black is ahead by 9 point(s),D,"White's material = 26. Black's material = 35. Difference = 9, so Black is ahead by 9 point(s).",Chess,Piece Values
86,What is 63 × 18?,1134,1152,1124,1144,A,63 × 18 = 1134.,Math / Mathematics,Multiplication
87,"Which term matches this description: ""a period of agricultural transformation in India starting in the 1960s that significantly increased food grain production""?",the Lal Bal Pal trio,the Green Revolution in India,Lala Lajpat Rai,the Mountbatten Plan,B,The description matches the Green Revolution in India: a period of agricultural transformation in India starting in the 1960s that significantly increased food grain production,History,Indian History
88,"Which term matches this description: ""the scientist who discovered penicillin in 1928, revolutionising the treatment of bacterial infections""?",the discovery of penicillin,Antonie van Leeuwenhoek,Gregor Mendel,Alexander Fleming,D,"The description matches Alexander Fleming: the scientist who discovered penicillin in 1928, revolutionising the treatment of bacterial infections",Science,Discoveries
89,What is an exoplanet?,"the faint glow of radiation left over from the Big Bang, filling the universe",a planet that orbits a star outside our solar system,"a recognisable pattern of stars, historically named after mythological figures or objects",an instrument used to analyse the spectrum of light from stars to determine their composition,B,an exoplanet is: a planet that orbits a star outside our solar system,Space,Astronomy
90,What is the English meaning of the Kannada word 'ಟೊಮ್ಯಾಟೊ'?,mirror,river,tomato,soil/earth,C,'ಟೊಮ್ಯಾಟೊ' means 'tomato' in English.,Kannada Subjects,Vocabulary
91,Which statement correctly describes an article?,"a verb that requires a direct object to complete its meaning, e.g. 'She reads a book.'","a word (a, an, the) used before a noun to specify definiteness","a word or phrase that expresses strong emotion, such as 'Wow!' or 'Ouch!'","a noun that names a specific person, place, or thing and begins with a capital letter",B,"By definition, an article is: a word (a, an, the) used before a noun to specify definiteness",English Subjects,Parts of Speech
92,"Which term matches this description: ""the process by which a government collects money from individuals and businesses to fund public services""?",barter system,a market economy,inflation,taxation,D,The description matches taxation: the process by which a government collects money from individuals and businesses to fund public services,Social Science,Economics
93,"Which term matches this description: ""software designed to run on multiple operating systems or platforms without modification""?",MongoDB,load balancing,cross-platform software,uptime,C,The description matches cross-platform software: software designed to run on multiple operating systems or platforms without modification,Software,Software Basics
94,How many Bytes is 46 Megabyte (MB)(s) equal to?,47104,4.82345e+07,4.82345e+10,4.82345e+06,B,"1 Megabyte (MB) = 1024^2 Byte(s) (relative scale), so 46 Megabyte (MB)(s) = 4.82345e+07 Byte(s).",Hardware,Storage Units
95,"Which term matches this description: ""a type of neural network where connections between nodes do not form cycles, with data flowing in one direction""?",multi-agent systems,a feedforward neural network,an intelligent agent,Super AI,B,"The description matches a feedforward neural network: a type of neural network where connections between nodes do not form cycles, with data flowing in one direction",AI – Artificial Intelligence,AI Basics
96,A classifier has 154 true positives and 96 false negatives. What is its recall (rounded to 2 decimal places)?,0.42,0.62,0.82,0.32,B,Recall = TP / (TP + FN) = 154 / (154 + 96) = 0.62.,ML – Machine Learning,Model Evaluation
97,"Which term matches this description: ""annual awards presented by the Recording Academy for outstanding achievements in music""?",the Nobel Prize,the Padma Shri,the Grammy Awards,the Booker Prize,C,The description matches the Grammy Awards: annual awards presented by the Recording Academy for outstanding achievements in music,General Knowledge (GK),Awards
98,The 1979 Cricket World Cup title was lifted by which team?,West Indies,Sri Lanka,Pakistan,South Africa,A,West Indies won the Cricket World Cup in 1979.,Cricket,World Cup History
99,A vehicle covers 249 km at a speed of 83 km/h. How long does it take?,6,2,3,5,C,Distance = Speed × Time = 83 × 3 = 249 km. So the answer is 3 hours.,Aptitude,Time and Distance
100,"Which HTML tag is used for linking an external resource, such as a CSS stylesheet, to a document?",<link>,<aside>,<ul>,<img>,A,"<link> is used for linking an external resource, such as a CSS stylesheet, to a document.",Web Development,HTML Tags
101,"Which number is the odd one out: 84, 89, 63, 60?",84,89,60,63,B,89 is the odd one out because it is not a multiple of 3; the rest are.,Puzzles,Odd One Out
102,"Using standard piece values (pawn=1, knight=3, bishop=3, rook=5, queen=9), what is the total material value of: 8 pawns, 2 knights, 2 bishops, 2 rooks?",27,30,29,28,B,Total value = 8×1 + 2×3 + 2×3 + 2×5 = 30.,Chess,Piece Values
103,What is 3857 - 1872?,1985,1975,1987,1965,A,3857 - 1872 = 1985.,Math / Mathematics,Subtraction
104,What is the Champaran Satyagraha?,a 1918 labour movement in Gujarat supported by Gandhi to improve conditions for textile mill workers,the chief architect of the Indian Constitution and a leader for social justice and rights of marginalised communities,"Gandhi's first major satyagraha campaign in India, launched in 1917 to support indigo farmers in Bihar",a 1962 border war fought between India and China in the Himalayan region,C,"the Champaran Satyagraha is: Gandhi's first major satyagraha campaign in India, launched in 1917 to support indigo farmers in Bihar",History,Indian History
105,"Fill in the blank: ______ refers to ""a device that converts electrical energy into mechanical energy"".",a parallel circuit,Newton's Second Law of Motion,a motor,a voltmeter,C,a motor refers to: a device that converts electrical energy into mechanical energy,Science,Physics
106,"Which term matches this description: ""the minimum speed needed for an object to break free from a planet's gravitational pull without further propulsion""?",the observable universe,the Kármán line,the term 'astrobiology',a spacecraft's escape velocity,D,The description matches a spacecraft's escape velocity: the minimum speed needed for an object to break free from a planet's gravitational pull without further propulsion,Space,Astronomy
107,Which Kannada word means 'to come'?,ಈರುಳ್ಳಿ,ಸೆಪ್ಟೆಂಬರ್,ಕುರ್ಚಿ,ಬರುವುದು,D,'ಬರುವುದು' means 'to come' in English.,Kannada Subjects,Verbs
108,Choose the word that is similar in meaning to 'brave':,feeble,create,cunning,courageous,D,'courageous' is similar in meaning to 'brave'.,English Subjects,Synonyms
109,Dispur is the capital of which Indian state/union territory?,Uttarakhand,Assam,Punjab,Andaman and Nicobar Islands,B,Dispur is the capital of Assam.,Social Science,Indian States and Capitals
